vdiffx,vdiffy,cx_ud_px,cy_ud_px,x_mm,y_mm
0,-105.0,311.4197106888763,172.32634813290557,0.11519817262887955,0.07766394689679146
0,-100.0,308.77900494233046,132.39359792210206,0.11385032162070274,0.06068071536719799
0,-95.0,309.2203901896374,134.70609112788935,0.11405064165592194,0.06166592985391617
0,-90.0,309.38827749064654,137.70748732225482,0.11413925141096115,0.06294621340930462
0,-85.0,309.65351308091766,140.04941947533263,0.11426513642072678,0.063944261521101
0,-80.0,310.13141757509163,142.47550879694325,0.11448142677545547,0.06497696414589882
0,-75.0,310.2611017585403,145.50515188578512,0.11455395072698593,0.06626840308308601
0,-70.0,310.49026440403804,148.76086900518092,0.1146698109805584,0.06765531376004219
0,-65.0,311.2974508061115,153.13003238277125,0.11503640189766884,0.06951327621936798
0,-60.0,311.5777950445587,156.3734119891817,0.11517366766929626,0.07089357078075409
0,-55.0,312.0722829139048,159.75161757206732,0.11540216952562332,0.07232969254255295
0,-50.0,312.56832741802486,163.5630677014675,0.11563372239470482,0.07394969835877419
0,-45.0,313.0733736218473,167.84737387136624,0.11587170884013176,0.07577010616660118
0,-40.0,314.0593772412292,171.8895934178369,0.1163112223148346,0.07748427242040634
0,-35.0,313.8969455610499,175.85682137981485,0.1162654235959053,0.0791715644299984
0,-30.0,313.34684549505425,179.61334129851448,0.11605480313301086,0.08077046275138855
0,-25.0,313.8643243351911,183.8409606137791,0.1162973940372467,0.08256347477436066
0,-20.0,313.1409563778609,187.99452789747022,0.11601605638861656,0.08433037996292114
0,-15.0,313.47755772034554,190.44879846502522,0.11617211624979973,0.08537031337618828
0,-10.0,313.44979072056015,193.11596409760813,0.11617568880319595,0.08650204166769981
0,-5.0,313.6687138191246,196.11167279985813,0.11628517508506775,0.08777157217264175
0,0.0,313.4581954368557,199.61719882529945,0.11621648445725441,0.08925891295075417
0,5.0,313.480400835286,202.26401757987665,0.11624100804328918,0.09038058668375015
0,10.0,313.4298544881999,205.7939167344055,0.11623991653323174,0.09187647327780724
0,15.0,313.62425106803835,209.01406177351936,0.11634024232625961,0.0932394415140152
0,20.0,313.75173765231796,212.1910946029337,0.11641212180256844,0.09458396956324577
0,25.0,313.66796850706953,215.43021299983442,0.11639533564448357,0.09595536813139915
0,30.0,313.6570690015317,218.95966048754525,0.11641092225909233,0.09744869917631149
0,35.0,313.72766004371823,222.46886964373317,0.1164606548845768,0.09893257170915604
0,40.0,313.5851087112072,225.8804748963169,0.11642013862729073,0.10037561506032944
0,45.0,313.2768506463322,229.5299384674654,0.11631123349070549,0.10191947221755981
0,50.0,313.48935015146344,233.7265929116319,0.11642460897564888,0.10369126871228218
0,55.0,313.7845282151534,237.30474318848184,0.11656920239329338,0.10520074889063835
0,60.0,314.12218707330806,240.89095874425993,0.11673162877559662,0.10671284422278404
0,65.0,314.1670680449568,243.98061101067208,0.11676808446645737,0.10801632329821587
0,70.0,314.4918674721763,247.3385595036747,0.11692371964454651,0.10943110659718513
0,75.0,314.4044974706619,250.40835447009022,0.11690443754196167,0.11072592809796333
0,80.0,314.75134999871216,253.8057508188656,0.11706947162747383,0.112156230956316
0,85.0,314.8653853048222,256.9165243606549,0.11713503301143646,0.11346647143363953
0,90.0,315.45986158230664,260.0053804835351,0.11740226671099663,0.11476462334394455
0,95.0,315.11210225824243,262.80182159679293,0.11727197840809822,0.11594385653734207
0,100.0,315.2900314760575,265.53907703320016,0.11736217141151428,0.11709527298808098
0,105.0,315.67628581644544,268.11295806296744,0.1175389252603054,0.11817656084895134
