vdiffx,vdiffy,cx_ud_px,cy_ud_px,x_mm,y_mm,theta_x_deg,theta_y_deg
0.0,0.0,335.95349245059276,255.31012090570385,0.1316159874200821,0.12355295419692994,0.03770519753510221,0.03539530960661033
2.0,0.0,337.03601198498995,255.02075774467647,0.13227054476737976,0.12338201254606247,0.037892714320737104,0.035346338449584985
4.0,0.0,338.33602343937685,255.08001681148033,0.1330586701631546,0.12341722697019578,0.03811849551591854,0.03535642663514866
6.0,0.0,339.75406633251544,255.11985705378007,0.13391907811164855,0.1234409898519516,0.038364984126652985,0.035363234196724255
8.0,0.0,341.2034747303479,255.102433927463,0.134799262881279,0.12343086749315262,0.03861713837531053,0.035360334355639345
10.0,0.0,342.52549062839734,255.1406765859514,0.13560304045677185,0.12345370203256607,0.03884740358379774,0.0353668759668249
12.0,0.0,343.88890592156986,255.06787581505654,0.13643239736557006,0.12341073304414749,0.03908499672682648,0.03535456626308185
14.0,0.0,345.3465648764578,255.05119156461495,0.1373201787471771,0.12340101897716522,0.03933932723918513,0.03535178338894141
16.0,0.0,346.53273875810777,255.05722662668163,0.1380433887243271,0.1234047457575798,0.039546511537961085,0.035352851032479586
18.0,0.0,348.12845923123274,254.96758620308947,0.1390169233083725,0.12335171103477478,0.039825408518534625,0.03533765770933961
20.0,0.0,349.5138388517747,254.93295034807426,0.13986316025257112,0.12333127856254578,0.04006783742754559,0.03533180423944715
22.0,0.0,350.9706193650473,254.92948388286862,0.1407540887594223,0.12332936078310013,0.04032306951838177,0.0353312548363147
24.0,0.0,352.2875162045201,254.84949349402604,0.14155997037887574,0.12328191846609116,0.04055393748128783,0.03531766361880614
26.0,0.0,353.78972453360313,254.782951096394,0.14248024821281433,0.12324244379997254,0.04081757752766939,0.03530635496427018
28.0,0.0,355.3243540265659,254.72215542702065,0.14342151582241058,0.12320634573698044,0.0410872306970213,0.035296013634905594
30.0,0.0,356.7053921580006,254.69248731546404,0.14426949322223664,0.12318875044584274,0.04133015820201995,0.035290972957210766
32.0,0.0,358.10056211354424,254.62648057025336,0.14512692391872406,0.1231494814157486,0.04157579387411267,0.03527972321302757
34.0,0.0,359.6103151847321,254.65238497581967,0.14605605900287627,0.12316498011350632,0.04184197132765615,0.03528416326119127
36.0,0.0,361.0042584088114,254.666777181529,0.1469148278236389,0.12317361235618592,0.042087990340714594,0.03528663621561973
38.0,0.0,362.58479644266004,254.55487986196482,0.1478890895843506,0.12310687750577927,0.0423670956242575,0.03526751809649349
40.0,0.0,363.8697340187521,254.43736491901126,0.14868182837963104,0.1230367287993431,0.04259419843554478,0.03524742198001775
42.0,0.0,364.8361915498096,254.06662591247422,0.1492774248123169,0.12281523644924164,0.04276482415029875,0.0351839691197121
44.0,0.0,366.27701392825537,253.59113475332387,0.15016646385192872,0.12253092825412751,0.04301951493152602,0.035102520852049235
46.0,0.0,367.9991433083411,253.2620207614812,0.15123126208782195,0.12233379036188126,0.043324556983084836,0.03504604502717403
48.0,0.0,369.32448973412187,253.13783958099697,0.15205207765102385,0.12225914746522903,0.0435597031855543,0.035024661420425575
50.0,0.0,371.0541146765113,252.8219016439672,0.15312394201755525,0.12206948399543763,0.04386676952888071,0.034970326858963695
52.0,0.0,372.5369980088083,252.64411512997967,0.1540442556142807,0.12196246832609177,0.04413041979800955,0.03493966913939799
54.0,0.0,374.02962705999227,252.48657098783445,0.15497174561023713,0.12186743468046188,0.04439612595097539,0.034912444015482665
56.0,0.0,375.53532855716605,252.3675333407513,0.1559084951877594,0.1217954322695732,0.04466448477513867,0.03489181685184341
58.0,0.0,376.8590428653712,252.34683432259013,0.15673326849937438,0.12178239673376083,0.044900764779846426,0.03488808244729947
60.0,0.0,378.1523999224585,252.19811328558302,0.15753933191299438,0.12169253081083298,0.045131684795401916,0.03486233776630881
62.0,0.0,379.5023971131402,252.01475896986275,0.1583813488483429,0.1215817466378212,0.04537290472830182,0.03483060045029601
64.0,0.0,380.7732606917611,252.0582930551048,0.15917573869228363,0.1216072291135788,0.04560048051159762,0.03483790063915991
66.0,0.0,382.26407628943514,251.97303295725519,0.16010795831680297,0.12155518382787704,0.04586754159176352,0.03482299076859854
68.0,0.0,383.64780949418446,251.8594312433845,0.16097391843795777,0.12148609459400177,0.04611562073276114,0.034803198168351375
70.0,0.0,384.9710556795081,251.856816877441,0.16180334687232972,0.12148377299308777,0.046353234321525265,0.034802533078926334
72.0,0.0,386.3832977209228,251.774406440931,0.16268910765647887,0.12143334448337555,0.046606985927481664,0.03478808638038612
74.0,0.0,387.79857329799125,251.70594852231238,0.16357769966125488,0.12139126360416412,0.04686154861603113,0.034776031100943704
76.0,0.0,389.0039229439926,251.63685098966343,0.16433520913124083,0.12134889215230941,0.047078558948047536,0.03476389257859835
78.0,0.0,390.3575351591173,251.65813495516704,0.16518707275390626,0.12136088758707046,0.04732259973392473,0.03476732901625929
80.0,0.0,391.7648609168956,251.6566959692951,0.16607357561588287,0.12135915160179138,0.047576563922334406,0.034766831693293476
82.0,0.0,393.13022405921896,251.7541278445302,0.16693492531776427,0.1214170828461647,0.04782332226432116,0.03478342776620253
84.0,0.0,394.3627753954278,251.67587579436864,0.16771247386932372,0.1213690996170044,0.048046073360264924,0.034769681588675244
86.0,0.0,395.650781588805,251.7214007659905,0.16852635741233826,0.121395805478096,0.04827923365566217,0.03477733225150124
88.0,0.0,396.77915755487265,251.65609050985523,0.16923950910568236,0.12135564386844636,0.04848353642089283,0.034765826802081824
90.0,0.0,398.01592902861546,251.64336153475006,0.17002212405204772,0.12134717851877212,0.04870773892666199,0.03476340165893247
92.0,0.0,399.11844957901303,251.43448094090954,0.17071947753429412,0.12122014462947846,0.04890751583849997,0.03472700914375728
94.0,0.0,400.09133039278987,251.4964291292206,0.171336430311203,0.1212569758296013,0.04908425966063221,0.03473756050148718
96.0,0.0,401.2672679688004,251.56318492724267,0.17208272516727446,0.12129660248756409,0.0492980572306669,0.034748912698600344
98.0,0.0,402.33155174395745,251.63447577784558,0.17275874316692352,0.12133908867835999,0.04949172197800451,0.03476108409122283
100.0,0.0,403.4987795625325,251.71227423742235,0.17350076735019684,0.12138547897338867,0.04970429608870334,0.0347743739269068
102.0,0.0,404.37140648911793,251.7829309338843,0.17405599355697632,0.12142774760723114,0.04986335656023447,0.03478648299406953
104.0,0.0,405.5533726567858,251.58653206731643,0.17480723559856415,0.121307972073555,0.050078571388407836,0.034752169843862625
106.0,0.0,406.59770337319515,251.75212192517773,0.1754731208086014,0.12140773981809616,0.05026933330299807,0.03478075118680791
108.0,0.0,407.7316086220723,251.8171384100233,0.17619618773460388,0.12144649475812912,0.05047647655871458,0.034791853655211244
110.0,0.0,408.7328829102483,251.91733783095924,0.1768353670835495,0.12150669544935226,0.05065958781131325,0.03480909987650315
112.0,0.0,409.74292072433735,252.09865284478693,0.17748101949691772,0.1216162085533142,0.05084455345777648,0.03484047305820495
114.0,0.0,410.78853700617856,252.25034771971178,0.178149750828743,0.12170781046152115,0.05103613072105132,0.03486671506217234
116.0,0.0,411.5573268185547,252.53239352486972,0.1786425918340683,0.12187878787517548,0.051177319156598136,0.03491569646498034
118.0,0.0,412.6627399152909,252.70166862834532,0.17935059666633607,0.12198119163513184,0.051380147437952634,0.03494503297033561
120.0,0.0,413.5506941821347,252.97005395094124,0.17992036640644074,0.12214404195547104,0.051543374313285026,0.034991686133197086
