vdiffx,vdiffy,cx_ud_px,cy_ud_px,x_mm,y_mm
-170.0,0.0,281.8717190063276,255.39626786969768,0.09950164705514908,0.12359358370304108
-169.0,0.0,233.76074183824656,255.73999897818425,0.07194291800260544,0.12378077954053879
-168.0,0.0,234.21621621621622,255.83698698698697,0.07219972461462021,0.1238362118601799
-167.0,0.0,234.50221937265732,255.7602091142237,0.07236073911190033,0.12379249185323715
-166.0,0.0,234.8106134849079,255.7468639749118,0.07253453880548477,0.12378495186567307
-165.0,0.0,235.2780070457977,255.74836436839456,0.07279805839061737,0.12378592789173126
-164.0,0.0,235.62833008447043,255.55185685010247,0.07299523055553436,0.12367386370897293
-163.0,0.0,236.10946271050523,255.67682437850843,0.0732669085264206,0.12374529987573624
-162.0,0.0,236.5298727227352,255.63069628150737,0.07350405305624008,0.12371906638145447
-161.0,0.0,236.80582773303237,255.51449238188067,0.07365956902503967,0.12365278601646423
-160.0,0.0,237.29208139249818,255.66276048050992,0.0739344134926796,0.12373755127191544
-159.0,0.0,237.57936211881002,255.75338058379185,0.07409683614969254,0.12378937005996704
-158.0,0.0,238.09066114925233,255.64887614031787,0.07438544929027557,0.12372981011867523
-157.0,0.0,238.26413184906752,255.58556214158352,0.07448332756757736,0.12369367480278015
-156.0,0.0,238.809554423619,255.62771376291974,0.07479167729616165,0.12371788173913956
-155.0,0.0,239.26855728968405,255.62019413779979,0.07505116611719131,0.12371368706226349
-154.0,0.0,239.5006161851294,255.70550915149025,0.07518257200717926,0.12376249581575394
-153.0,0.0,239.8541639171176,255.81747393427477,0.0753827765583992,0.12382657080888748
-152.0,0.0,240.2301313664732,255.88342862130668,0.07559563219547272,0.12386436760425568
-151.0,0.0,240.68011594744962,255.704614521483,0.07584990561008453,0.12376227229833603
-150.0,0.0,241.1708605455244,255.6078563196312,0.07612752169370651,0.12370706349611282
-149.0,0.0,241.59202877130753,255.69706375012316,0.07636620104312897,0.12375817447900772
-148.0,0.0,241.89064636703438,255.69441152338408,0.07653534412384033,0.12375672906637192
-147.0,0.0,242.41961563949636,255.81320963110227,0.07683531194925308,0.1238248199224472
-146.0,0.0,242.83596186000273,255.83736273668038,0.07707133889198303,0.12383873760700226
-145.0,0.0,243.34220043780337,255.71380984105835,0.07735808193683624,0.12376818060874939
