vdiffx,vdiffy,cx_ud_px,cy_ud_px,x_mm,y_mm,theta_x_deg,theta_y_deg
0.0,-170.0,353.1456785295268,178.41177160735236,0.1200721487402916,0.08513908833265305,0.034398132666688286,0.024390550691938417
0.0,-169.0,353.7626316178828,153.9757107982147,0.12029705196619034,0.07354985177516937,0.034462562671636436,0.021070479502796162
0.0,-168.0,354.0684294674702,154.09041938260975,0.12044822424650192,0.07359843701124191,0.034505870324154815,0.021084398145780583
0.0,-167.0,354.0108018684313,154.27975379525108,0.1204204261302948,0.07368921488523483,0.03449790675335707,0.021110404087519383
0.0,-166.0,353.68605618637434,155.16229444009397,0.12026315182447433,0.07411335408687592,0.03445285099992287,0.021231911001829803
0.0,-165.0,353.73263357387566,155.38302111426975,0.12028682976961136,0.0742170512676239,0.03445963422908917,0.021261618051766053
0.0,-164.0,354.3086066264046,155.4814128630206,0.12057121843099594,0.07425296306610107,0.03454110554974295,0.021271906022786002
0.0,-163.0,353.8520007894607,156.34413085311098,0.12034881114959717,0.07467013597488403,0.03447739058007089,0.02139141724122244
0.0,-162.0,354.15760829952137,156.56425083213878,0.12050026655197144,0.07476881146430969,0.03452077934104272,0.021419685682704262
0.0,-161.0,354.3413675787053,156.73328860989986,0.12059146165847778,0.07484553009271622,0.0345469048051271,0.021441663947718074
0.0,-160.0,354.12117273252454,157.58203350664357,0.12048560380935669,0.07525170594453812,0.034516578776227824,0.021558024741581205
0.0,-159.0,354.21674531155475,157.73156684815487,0.12053322792053223,0.07532082498073578,0.03453022207414154,0.021577825884066062
0.0,-158.0,354.36678840886157,158.01184583593638,0.12060816586017609,0.07545091211795807,0.03455169020467433,0.021615093098430176
0.0,-157.0,353.9371297303833,158.79044855519285,0.12039875239133835,0.07582759112119675,0.034491697686765264,0.021723003668579287
0.0,-156.0,354.22935429158406,158.98934569169393,0.12054353207349777,0.0759165957570076,0.03453317399545121,0.021748501614855073
0.0,-155.0,354.4993274971094,159.20866466882183,0.12067745625972748,0.07601569592952728,0.034571540434726836,0.021776891718931175
0.0,-154.0,354.29752766658817,159.87612432305156,0.12058005481958389,0.0763356015086174,0.034543636987684,0.021868537903258965
