vdiffx,vdiffy,cx_raw,cy_raw,cx_ud_px,cy_ud_px,x_mm,y_mm,theta_x_deg,theta_y_deg
-170.0,0.0,159.1791048927707,266.26538900169675,151.58197788294262,268.254151510359,0.03782745078206062,0.12798748910427094,0.01083676626853374,0.0366657097756442
-169.0,0.0,51.96996071233977,260.17289438215136,36.66110137568474,256.39883818801485,-0.008836266584694386,0.1230359598994255,-0.0025314039081302405,0.03524720170650038
-168.0,0.0,53.51820676251179,260.4344756623889,37.94094540790423,256.7120754616145,-0.008336507715284824,0.12316524982452393,-0.002388233538437212,0.03528424052767695
-167.0,0.0,54.98268490504396,260.5667391088195,39.08346730280558,257.1435720582897,-0.007889488711953163,0.12334476411342621,-0.0022601720273827497,0.03533566756372719
-166.0,0.0,56.65498659895613,260.7767527154747,40.17655533229708,257.6821978744108,-0.007461055181920528,0.12356965243816376,-0.00213743486219975,0.03540009329852441
-165.0,0.0,58.26440420412815,260.942523883894,41.59196907191028,258.14272127664833,-0.0069065880961716175,0.12376121431589127,-0.0019785917429431337,0.03545497171308976
-164.0,0.0,59.88526973564648,261.2511707883075,43.07813704703161,258.6428537008481,-0.006323755253106356,0.12396953999996185,-0.001811622432779668,0.03551465260250531
-163.0,0.0,61.62013276804641,261.3769524712708,44.69527988362329,259.01271391908034,-0.005689452402293682,0.12412288039922714,-0.0016299080515203108,0.035558581374140266
-162.0,0.0,63.24102014990753,261.7638191653572,46.02515789228367,259.690018411056,-0.005166029557585716,0.12440671771764755,-0.001479958452118346,0.035639894744818754
-161.0,0.0,64.93223623202447,261.86484616129883,47.299629944606615,260.37397430298574,-0.004663835279643536,0.12469371408224106,-0.0013360903890967718,0.03572211311506693
-160.0,0.0,66.55370629754745,262.0018675674933,49.17012569753678,260.46926328842795,-0.003929038066416979,0.12473121285438538,-0.001125586493614872,0.035732855717793846
-159.0,0.0,68.16752595036778,262.2762493985014,50.90313757580513,261.08130345592934,-0.0032456142362207174,0.12498760968446732,-0.0009297999882334955,0.03580630797038719
-158.0,0.0,69.88624576918878,262.47118954034283,52.59844748656479,261.49318840259195,-0.00257688807323575,0.1251596361398697,-0.0007382240543291848,0.03585558990040951
-157.0,0.0,71.757063224892,262.59843539176535,54.73393086349325,261.8513927133501,-0.0017339467303827405,0.1253085434436798,-0.0004967391477447518,0.03589824868391841
-156.0,0.0,73.57484191201469,262.94450261780105,56.66226415094339,262.2489257279965,-0.0009714359184727073,0.12547461688518524,-0.0002782958909773157,0.035945825201654576
-155.0,0.0,75.54957387905765,263.05013027901424,58.74794888746789,262.73984198033963,-0.00014533239300362766,0.1256803423166275,-4.1634663728215064e-05,0.036004761173220254
-154.0,0.0,77.30144289821426,263.1719599929812,60.66433739609802,263.08485507558464,0.000614419870544225,0.12582463026046753,0.00017601832715523875,0.03604609660796188
-153.0,0.0,79.29068965050672,263.3813982437388,62.62006020001942,263.6966695795708,0.0013917225878685713,0.1260824054479599,0.0003986991526830347,0.0361199437302061
-152.0,0.0,81.24341636052911,263.5159797074536,64.8867048808658,263.8700859819481,0.002292078686878085,0.1261538416147232,0.0006566321753212626,0.036140408676368974
-151.0,0.0,83.13884319805851,263.58539840906025,66.9409371687953,264.12769647464376,0.0031096506863832474,0.1262614130973816,0.0008908493003768112,0.036171225623858834
-150.0,0.0,85.24731052333576,263.76870500687534,69.28249676183135,264.308626909449,0.004042617045342922,0.1263362318277359,0.0011581244742712574,0.03619265960270043
-149.0,0.0,87.43985468245425,263.879817007535,71.53676235534812,264.7622807578373,0.0049432432278990746,0.12652747333049774,0.0014161348700378455,0.03624744623568627
-148.0,0.0,89.42925194784223,264.0319594149072,73.58386131550084,265.12810000958353,0.005762177985161543,0.12668174505233765,0.001650742396308021,0.03629164181077451
-147.0,0.0,91.60485562187449,263.9973382803678,75.74924574002465,265.4389155653763,0.006629450246691704,0.1268126517534256,0.0018991975974414104,0.03632914380312451
-146.0,0.0,93.92062680745174,263.99319389333516,78.21080224594836,265.4829108001191,0.007615851238369942,0.12682956457138062,0.0021817806657358466,0.036333988966618797
-145.0,0.0,96.27363096843808,264.26232802805504,80.57627479809926,266.10086513669586,0.008567421697080135,0.12709198892116547,0.0024543855212562247,0.03640916797474414
-144.0,0.0,98.5788054469462,264.12856950249426,82.85775509118945,266.0614239378955,0.009484434500336647,0.12707358598709106,0.0027170903376510106,0.03640389592460713
-143.0,0.0,100.95445131773083,264.43970383204515,85.1021915705545,266.6135118425821,0.010390125215053558,0.12730851769447327,0.002976551614497356,0.036471198873921196
-142.0,0.0,103.19811703047331,264.4622460557597,87.74598693145968,266.4986685488787,0.011456047184765339,0.12725770473480225,0.003281915764359562,0.03645664203914848
-141.0,0.0,105.65859394004919,264.363164580912,89.99750509110682,266.81373479331705,0.012366879731416702,0.1273914873600006,0.003542850067264937,0.03649496792259566
-140.0,0.0,108.0037033532918,264.69256761322936,92.13740816174197,267.532688555007,0.013235442340373993,0.12769897282123566,0.003791674924925796,0.03658305598272271
