vdiffx,vdiffy,cx_raw,cy_raw,cx_ud_px,cy_ud_px,x_mm,y_mm,theta_x_deg,theta_y_deg
-170.0,0.0,105.64520808528691,264.10420002463354,90.53849757075318,266.05251748404106,0.01258289534598589,0.1270645409822464,0.0036047339821428624,0.03640130472263673
-169.0,0.0,52.150473285956785,259.5335759703081,36.80313029580744,255.5497306457613,-0.008783754892647266,0.12267818301916122,-0.002516360416512478,0.035144706218944215
-168.0,0.0,53.63451740325166,259.8376173574536,38.1233348460984,256.04639739448464,-0.008267609402537346,0.12288448214530945,-0.0023684956257912083,0.03520380654289805
-167.0,0.0,55.164293849658314,260.0329869020501,39.11641070246271,256.56922717418115,-0.007878545671701431,0.12310267984867096,-0.002257037077280291,0.035266315556768346
-166.0,0.0,56.77180253236591,260.27469056764835,40.136702642162604,257.2390164435168,-0.007478091865777969,0.12338291853666306,-0.0021423155126025924,0.03534659799667467
-165.0,0.0,58.272025559828094,260.5351306265551,41.42531409379276,257.79900485134965,-0.00697286706417799,0.12361656874418259,-0.001997579268606512,0.035413533825017836
-164.0,0.0,59.94783255866204,260.7104601687894,43.05360077332045,258.16707346544223,-0.006334948353469372,0.12376883625984192,-0.0018148290198287923,0.03545715523835388
-163.0,0.0,61.63471404806173,260.9122642696378,43.07956779180686,259.65271396355655,-0.006319813430309296,0.12439566850662231,-0.0018104931837314964,0.03563672938024992
-162.0,0.0,63.24707080287898,261.1005133069241,45.96555345515648,259.03772550117856,-0.005191593896597624,0.12413128465414047,-0.0014872820957705553,0.035560989014895295
-161.0,0.0,64.87406061950584,261.3162557888023,47.470175478892,259.49812807202903,-0.00459986412897706,0.12432331591844559,-0.0013177640043876785,0.035616001898566965
-160.0,0.0,66.48482211910286,261.4268865318749,49.2552049723194,259.8325465022813,-0.0038977644871920347,0.124461829662323,-0.0011166272731190157,0.03565568314786041
-159.0,0.0,68.35186813186813,261.6372527472528,51.115756166282786,260.31586126702297,-0.0031645658891648054,0.12466340512037277,-0.0009065813471253821,0.03571343024045887
-158.0,0.0,69.95522899559967,262.02833486408315,52.55177039221338,261.0384564219675,-0.0025968218687921762,0.12496716529130936,-0.0007439346661035287,0.03580045108546092
-157.0,0.0,71.88829467118941,262.11253966517125,54.74457269236271,261.31059714137956,-0.0017316003795713186,0.12507939338684082,-0.0004960669677510444,0.03583260205398099
-156.0,0.0,73.58789440671957,262.40946030707136,56.52987964989059,261.8869803063457,-0.0010249661281704903,0.12532132863998413,-0.0002936311664375998,0.03590191137142287
