vdiffx,vdiffy,cx_ud_px,cy_ud_px,x_mm,y_mm
-150.0,0,237.56130686823246,204.13970699728245,0.07719840357700984,0.09194972117741902
-149.0,0,220.40826214252706,204.05762230062396,0.06801444540421168,0.09213753789663315
-148.0,0,220.75328635939934,204.0802713211715,0.06819688777128856,0.0921451101700465
-147.0,0,221.24324068467448,204.0582898093844,0.06845568120479584,0.09212679415941238
-146.0,0,221.7030356793592,204.0429107053071,0.06869862725337346,0.09211242695649464
-145.0,0,221.90364204410025,204.06594178863463,0.06880484769741695,0.09212212264537811
-144.0,0,222.44071242839436,204.04570178338258,0.06908875207106273,0.09210410962502162
-143.0,0,222.82219284658743,204.08460043803652,0.06929079939921697,0.09211992969115575
-142.0,0,223.34986483614065,204.06161836137326,0.06956985592842102,0.09210056314865749
-141.0,0,223.7228875411803,204.04868632264802,0.06976717958847682,0.09208865215380986
-140.0,0,224.35676762003462,203.99792148035883,0.0701024333635966,0.09205292661984761
-139.0,0,224.81610273376774,203.91792069630003,0.07034512360890706,0.09200380494197209
-138.0,0,225.0093696339604,203.93325139744113,0.0704475964109103,0.09200946738322575
-137.0,0,225.6017047331377,203.8997461110881,0.07076120376586914,0.09198354929685593
-136.0,0,225.9972674217714,203.9541488459679,0.07097118844588597,0.0920075202981631
-135.0,0,226.53181639587106,204.21642494132973,0.07125635693470637,0.09214142461617787
-134.0,0,227.25502088324086,203.99565707455656,0.07163835565249126,0.09201303621133168
-133.0,0,227.70978930281464,203.85453148681896,0.07187861204147339,0.09193106244007747
-132.0,0,227.96181171513717,203.83818557729538,0.07201221336921056,0.09191890309254329
-131.0,0,228.54004686546327,203.77377217550466,0.07231866071621577,0.0918765018383662
-130.0,0,228.9090286988591,203.75027935045955,0.07251435269912083,0.09185892095168431
-129.0,0,229.20842917894808,203.80681544229256,0.07267370323340099,0.09188533077637355
-128.0,0,229.60591515150577,203.81033042433853,0.07288483281930287,0.09188189854224522
-127.0,0,230.6042163653026,203.72489376689055,0.07341461628675461,0.09182252238194148
-126.0,0,230.9657931610494,203.69690248246243,0.07360657552878062,0.09180259952942531
-125.0,0,231.6122751792332,203.61622981852562,0.07394973188638687,0.09175047526756923
-124.0,0,232.02764572031245,203.64426510009784,0.0741707980632782,0.09175999214251836
-123.0,0,232.68645863387007,203.64298754197293,0.07452127089103062,0.0917504479487737
-122.0,0,233.1353240918058,203.59730794309976,0.07475979129473369,0.09171979874372482
-121.0,0,233.78791996605938,203.6049595768444,0.07510724167029063,0.09171513468027115
-120.0,0,234.21679924728514,203.6112604443925,0.075335626800855,0.09171275794506073
-119.0,0,234.85651250007723,203.55181047655967,0.07567596683899562,0.09167209764321645
-118.0,0,235.22661964165994,203.5446543123296,0.07587308933337529,0.09166325628757477
-117.0,0,235.55241119182224,203.55747752043325,0.07604679216941197,0.0916657770673434
-116.0,0,236.16095294298592,203.59014531635782,0.07637140154838562,0.09167518963416417
-115.0,0,236.96251993968636,203.59598613853822,0.07679888854424159,0.09166752795378368
-114.0,0,237.36709555643208,203.59550825486778,0.0770146797100703,0.09166181087493896
-113.0,0,238.04075484578252,203.58385685139334,0.07737409075101216,0.09164643536011378
-112.0,0,238.46566097772316,203.55885803387,0.07760070512692134,0.09162721037864685
-111.0,0,239.06285951305344,203.6103347519131,0.07791994015375774,0.09164692709843318
-110.0,0,239.51606126538732,203.63368390978894,0.07816213617722194,0.09165340662002563
-109.0,0,240.0564344485604,203.66604550043414,0.07845105727513631,0.09166358411312103
-108.0,0,240.48141378036146,203.71734314606215,0.0786785085995992,0.09168554097414017
-107.0,0,241.14893317017518,203.78190754301625,0.07903580367565155,0.09171139697233836
-106.0,0,241.9058729421334,203.7790461364531,0.07944058378537495,0.09169963498910268
-105.0,0,242.35769336881756,203.76265101574032,0.07968216389417648,0.0916846791903178
-104.0,0,242.7836055615696,203.75971764504186,0.07991006970405579,0.09167734036842982
-103.0,0,243.37230460585974,203.75548427459208,0.0802251398563385,0.09166710327068965
-102.0,0,243.96985874326734,203.7981477596977,0.08054540554682414,0.09168208638827006
-101.0,0,244.37963501063896,203.84480013094935,0.0807651902238528,0.09170176337162654
-100.0,0,244.97455104840216,203.83215148670516,0.08108385403951009,0.09168688456217448
-99.0,0,245.39641849814123,203.8042526177339,0.08130973825852077,0.09166610240936279
-98.0,0,245.98308349623616,203.80445625316372,0.08162425955136617,0.0916582743326823
-97.0,0,246.47354349273368,203.8005253285643,0.081887220342954,0.09164951741695404
-96.0,0,247.00822133350934,203.83813669465107,0.08217429618040721,0.09166262795527776
-95.0,0,247.7728522837257,203.76109523405944,0.08258407811323802,0.09161059558391571
-94.0,0,248.14035540533564,203.75987570852658,0.08278132726748784,0.09160495797793071
-93.0,0,248.70170028187366,203.83641786951466,0.08308326701323192,0.091638778646787
-92.0,0,249.09542689359031,203.80634886382336,0.08329451084136963,0.0916171669960022
-91.0,0,249.77229840453165,203.7926644797511,0.08365807930628459,0.09160059193770091
-90.0,0,250.19443279025745,203.8455217111638,0.08388528476158778,0.09162348260482152
-89.0,0,250.82436639371417,203.9216045049435,0.0842244600256284,0.09165614595015843
-88.0,0,251.3574292505407,203.90546238700298,0.08451101183891296,0.09164018432299297
-87.0,0,252.04610065723978,203.88339231096904,0.08488132307926814,0.09161889056364696
-86.0,0,252.51261496383907,203.905784461351,0.08513253927230835,0.09162469953298569
-85.0,0,253.19171391684085,204.03151964085154,0.0854989488919576,0.09168362369139989
-84.0,0,253.82281012564954,204.0196712523667,0.0858387400706609,0.09166865050792694
-83.0,0,254.67315017099622,204.0088147739289,0.08629678438107173,0.09165123601754506
