vdiffx,vdiffy,cx_ud_px,cy_ud_px,x_mm,y_mm
0,-150.0,310.5815425741737,130.2829215565308,0.11642801264921825,0.0502416267991066
0,-149.0,308.5842159575191,111.53986431511892,0.11518881469964981,0.039949712653954826
0,-148.0,308.80193404601226,111.70039033005656,0.11531101415554683,0.04003190373380979
0,-147.0,308.7441725432528,112.17028538613413,0.11528205126523972,0.04029268523057302
0,-146.0,308.75827558131687,112.69333230887354,0.1152934158841769,0.0405807135005792
0,-145.0,308.85424373905147,113.01231627114116,0.11534895747900009,0.04075384015838305
0,-144.0,308.76950003010364,113.50327068889159,0.11530511826276779,0.041027008245388664
0,-143.0,308.9903504448478,113.9609117352578,0.11543107529481252,0.04127303262551626
0,-142.0,309.1451579216312,114.36056355944827,0.11551992098490398,0.04148898646235466
0,-141.0,309.06342076168966,114.94545271220129,0.11547836909691493,0.041813878963390984
0,-140.0,309.36867287760487,115.07315908695057,0.11564911405245464,0.04187560578187307
0,-139.0,309.2052768579217,115.6211402072991,0.11556186527013779,0.042182452976703644
0,-138.0,309.2888345606015,116.05641974469945,0.11561129987239838,0.04242014636596044
0,-137.0,309.2860452948235,116.63324096952698,0.11561363687117894,0.04273831844329834
0,-136.0,309.3518157293109,117.05327515076097,0.11565306782722473,0.04296812663475672
0,-135.0,309.60886030987325,117.28675049303816,0.11579770843187968,0.04308965429663658
0,-134.0,309.45691675320313,117.91916815117288,0.11571738868951797,0.04344269509116808
0,-133.0,309.46053669204383,118.34965827921404,0.11572230110565822,0.043680028369029365
0,-132.0,309.66448522938504,118.82164224430272,0.11583900948365529,0.04393462588389715
0,-131.0,309.3591663562721,119.44197871443727,0.11567322661479314,0.04428526138265928
0,-130.0,309.5199594974252,119.83969786061817,0.11576540271441142,0.04450012743473053
0,-129.0,309.34702497281813,120.57507431697137,0.11567409833272298,0.04491047188639641
0,-128.0,309.3664621103503,121.225556163075,0.11568930000066757,0.04526865606506666
0,-127.0,309.3681747856771,121.69786576601246,0.11569343010584514,0.0455290749669075
0,-126.0,309.3460241659734,122.32532927878276,0.11568532635768254,0.04587570081154505
0,-125.0,309.3555793733276,122.730919560072,0.11569337795178096,0.04609910647074381
0,-124.0,309.44698252776465,123.08949412976159,0.11574666698773702,0.04629436259468397
0,-123.0,309.51270105923385,123.6208930604004,0.11578682065010071,0.04658562814195951
0,-122.0,309.5318533893197,124.24598168178187,0.11580168704191844,0.046929831306139626
0,-121.0,309.5592030420944,124.68440006409192,0.1158198614915212,0.04717087124784788
0,-120.0,309.69698093930214,125.05295984570779,0.11589904129505157,0.04737041393915812
0,-119.0,309.7453488575508,125.7121210290153,0.11593040575583775,0.04773265371719996
0,-118.0,309.6732764449639,126.33955821674671,0.11589450140794118,0.0480806070069472
0,-117.0,309.6139460834432,126.74287689513635,0.11586419244607289,0.048304603745539985
0,-116.0,309.87725503472643,127.01438813769535,0.11601260801156361,0.048447344452142715
0,-115.0,309.77347954806777,127.53399079852932,0.11595832804838817,0.048736644287904106
0,-114.0,309.9708884208457,127.92192386397763,0.11607083678245544,0.048945385962724686
0,-113.0,309.8511853986853,128.44419402798812,0.1160077154636383,0.0492365670700868
0,-112.0,310.05210993088264,128.81135164543932,0.11612205455700557,0.0494337889055411
0,-111.0,310.00688590031456,129.31793942119484,0.11610027650992076,0.04971435790260633
0,-110.0,309.86627300421446,129.70559755623148,0.11602459599574406,0.04993184035023054
0,-109.0,310.052607690959,130.23933081157537,0.11613193899393082,0.050221328934033714
0,-108.0,310.0649543087446,130.63305036882628,0.11614145835240682,0.05043816690643629
0,-107.0,310.0929747159467,131.3142211115498,0.11616165190935135,0.05081310371557871
0,-106.0,310.27853596259087,131.75627306372854,0.11626795182625453,0.051052132000525795
0,-105.0,310.2993200480366,132.11700086739205,0.11628194650014241,0.05125053599476814
0,-104.0,310.02116451249185,133.14567518490074,0.11613399038712184,0.051825019220511116
