vdiffx,vdiffy,cx_ud_px,cy_ud_px,x_mm,y_mm,theta_x_deg,theta_y_deg
-170.0,0.0,480.2962380685008,335.9393599101628,0.19585469365119934,0.1615600436925888,0.05610821878472336,0.04628353314037035
-169.0,0.0,460.3976566660749,335.4107935380792,0.18510432541370392,0.16103562712669373,0.053028467937887125,0.046133298958423816
-168.0,0.0,461.453847496074,335.4772291048683,0.18567083775997162,0.16108223795890808,0.05319076163085799,0.046146651969591765
-167.0,0.0,462.30284237726096,335.46546080964686,0.18612612783908844,0.16108746826648712,0.05332119251810922,0.046148150341368925
-166.0,0.0,463.1990291262136,335.4812520924004,0.1866072416305542,0.16110698878765106,0.053459021347013136,0.046153742555123604
-165.0,0.0,463.9948658496191,335.555647565419,0.1870352029800415,0.16115421056747437,0.053581623135638114,0.04616727058976773
-164.0,0.0,464.91474423269807,335.5449682380475,0.1875295341014862,0.16116096079349518,0.05372323844616398,0.04616920438582088
-163.0,0.0,466.00030344409043,335.59808830223034,0.18811383843421936,0.16120149195194244,0.05389062915962196,0.04618081569986853
-162.0,0.0,466.62762099952704,335.7419202270219,0.18845251202583313,0.161281019449234,0.05398765191079421,0.046203598634810564
-161.0,0.0,467.51467678100266,335.71108179419525,0.18893009424209595,0.1612773835659027,0.054124469015823656,0.046202557031639474
-160.0,0.0,468.3801041841707,335.6881196437574,0.18939639627933502,0.16127736866474152,0.05425805458988293,0.04620255276277401
-159.0,0.0,469.27420131642316,335.8153796757104,0.18987955152988434,0.161352276802063,0.05439646824897043,0.04622401234941176
-158.0,0.0,470.31974822974036,335.8428009441385,0.19044417142868042,0.16137969493865967,0.054558219788891325,0.046231867061844054
-157.0,0.0,471.21353684859696,335.8126734505088,0.19092682003974915,0.16137653589248657,0.05469648830521231,0.04623096206236825
-156.0,0.0,472.2819604369649,335.8485385296723,0.19150474667549133,0.161408469080925,0.054862051939353756,0.04624011024103065
-155.0,0.0,473.0366152515497,335.8433040219115,0.19191305339336395,0.16141583025455475,0.054979023090284435,0.04624221906056332
-154.0,0.0,474.16927857335855,335.76303701702244,0.19252583384513855,0.16139091551303864,0.05515457159640278,0.04623508151752916
-153.0,0.0,475.1518782819443,335.880166958395,0.19305919110774994,0.1614621877670288,0.05530736705502293,0.0462554995009777
-152.0,0.0,475.98218014757066,335.8493665599332,0.1935093104839325,0.1614578664302826,0.05543631663724944,0.04625426152999747
-151.0,0.0,476.9543429844098,335.9562917594655,0.19403772056102753,0.1615239977836609,0.05558769483149862,0.04627320675485583
-150.0,0.0,478.0198445739661,335.9324174299195,0.19461634755134583,0.16152627766132355,0.055753459097292596,0.04627385989126919
-149.0,0.0,479.05696986376773,335.94839686252925,0.19518035650253296,0.16154804825782776,0.055915035606407024,0.046280096703686435
-148.0,0.0,480.1848546315078,335.96754563894524,0.1957942396402359,0.1615726202726364,0.05609090000291232,0.04628713606280629
-147.0,0.0,481.12277309763846,335.92280071813286,0.19630476832389832,0.16156280040740967,0.05623715555684857,0.04628432288047779
-146.0,0.0,482.11863918120224,335.90514631685164,0.19684745371341705,0.16156728565692902,0.05639262331877238,0.04628560780897687
-145.0,0.0,483.2093797276853,335.96928895612706,0.1974429339170456,0.16161386668682098,0.05656321566527277,0.04629895228235668
-144.0,0.0,484.30763615126295,336.08351584172874,0.19804342091083527,0.16168558597564697,0.05673524234908962,0.04631949833173169
-143.0,0.0,485.1331871345029,336.0440058479532,0.19849425554275513,0.16167691349983215,0.05686439683049799,0.04631701385204475
-142.0,0.0,486.25030921459495,336.0769944341373,0.19910544157028198,0.16170838475227356,0.05703948855687446,0.0463260296958563
-141.0,0.0,487.3416364496295,336.0072520889169,0.19970233738422394,0.1616881638765335,0.05721048644163377,0.04632023684545303
-140.0,0.0,488.5226801067299,336.0274236584643,0.20034955441951752,0.161714106798172,0.057395900278928116,0.046327668940185425
-139.0,0.0,489.72226315013995,336.1393841166937,0.20100824534893036,0.1617862582206726,0.057584601140238355,0.046348338786641484
-138.0,0.0,490.7173119065011,336.2487947406866,0.20155523717403412,0.16185446083545685,0.05774130259655486,0.04636787738374509
