vdiffx,vdiffy,cx_raw,cy_raw,cx_ud_px,cy_ud_px,x_mm,y_mm,theta_x_deg,theta_y_deg
-170.0,0.0,152.38630344305713,267.68668524060126,146.24484647302904,268.6407634854772,0.03557831048965454,0.12815867364406586,0.010192435058801578,0.03671475051377485
-169.0,0.0,48.4671286182414,270.23880393227745,21.92506717086277,262.5093375791953,-0.01452714018523693,0.125625878572464,-0.004161719097725865,0.03598915846599366
-168.0,0.0,48.92316150744727,260.23891239878714,21.295938634340114,261.8934662009451,-0.01477165799587965,0.12536866962909698,-0.004231768290178068,0.035915473560466565
-167.0,0.0,52.14481492410085,263.02940887184025,22.395917034133596,262.73114486362897,-0.014344839379191399,0.12571826577186584,-0.00410949376405675,0.03601562543857734
-166.0,0.0,52.663664647126254,263.1713116096283,24.300429829571073,265.10712675463645,-0.0136020602658391,0.12671232223510742,-0.0038967032235679364,0.03630040152486975
-165.0,0.0,56.8613805847027,263.01923711476275,25.781501802790405,260.526477504311,-0.01304457988590002,0.12478964030742645,-0.003736996859617486,0.03574959394361527
-164.0,0.0,45.420076726342714,262.1447010869565,29.25842222623998,266.7820165129874,-0.011678333394229412,0.12741190195083618,-0.0033455960723778066,0.036500816269699345
-163.0,0.0,60.26042770127118,262.3727158368644,34.13111456523727,264.3220261497668,-0.009794727899134159,0.1263742446899414,-0.002805982848253828,0.03620354948121178
-162.0,0.0,49.57111679711018,267.69325707405176,20.63253059613107,270.493485984998,-0.014999651350080967,0.12897102534770966,-0.004297083574580076,0.036947472038103904
-161.0,0.0,61.94597026864876,261.8205786280915,36.586873772102166,263.6565876719057,-0.008841156959533691,0.1260918229818344,-0.00253280489732015,0.036122641653855966
-160.0,0.0,63.971307368561696,261.84307568975885,39.58459498627856,263.6505503993093,-0.0076722800731658936,0.1260862499475479,-0.002197946336095477,0.036121045097772045
-159.0,0.0,67.36771820531513,263.2365961959043,44.09556429317442,265.13061374946244,-0.005903774872422218,0.12670652568340302,-0.0016913069164346478,0.03629874093579432
-158.0,0.0,69.52013793565234,261.05346680504874,47.86669333005169,265.0890351956682,-0.004425338469445705,0.1266859620809555,-0.0012677660858737162,0.036292849899999244
-157.0,0.0,72.28760899341863,261.7215447833495,49.20755356867581,264.36753507014026,-0.0039011260960251093,0.12637972831726074,-0.001117590303111195,0.036205120424093636
