vdiffx,vdiffy,cx_ud_px,cy_ud_px,x_mm,y_mm,theta_x_deg,theta_y_deg
0.0,-170.0,350.78728484521315,169.0243340323485,0.11888004839420319,0.08072785288095474,0.0340566211956275,0.02312682504018204
0.0,-169.0,349.6087367674486,155.1742362552208,0.11825597286224365,0.07419480383396149,0.033877836788069784,0.02125524463237417
0.0,-168.0,350.4336746844487,155.5151659486025,0.11866265535354614,0.07434077560901642,0.03399434269896519,0.021297062459801203
0.0,-167.0,350.089597584388,155.56213304505042,0.11849360167980194,0.07436936348676682,0.033945912405905755,0.021305252282370898
0.0,-166.0,349.916977115487,156.19493127305427,0.11841076612472534,0.07467186450958252,0.03392218177573225,0.021391912429868237
0.0,-165.0,349.9751796802868,156.42643517931822,0.11844012141227722,0.07478030771017075,0.03393059144319928,0.02142297911408432
0.0,-164.0,349.9876741406682,156.28463637823086,0.11844580620527267,0.07471299916505814,0.033932220015858335,0.021403696638977034
0.0,-163.0,349.20619266886627,157.21213879119685,0.11806467920541763,0.07516594231128693,0.033823035211279315,0.02153345527395055
0.0,-162.0,349.9109589041096,157.33322374429224,0.11841145157814026,0.07521040737628937,0.03392237814360206,0.0215461935749523
0.0,-161.0,350.06440627776135,157.51869262659164,0.11848748475313187,0.0752953588962555,0.033944160036111906,0.021570530389293217
0.0,-160.0,350.29161765556603,158.45313253244373,0.1186022236943245,0.07573332637548447,0.03397703030994454,0.021695998812025358
0.0,-159.0,350.3711218878721,158.53006107582738,0.11864157021045685,0.07576829940080643,0.03398830225254394,0.021706017844326842
0.0,-158.0,350.4688399643767,159.4603690740012,0.11869262158870697,0.076206736266613,0.034002927389955494,0.021831620736163994
0.0,-157.0,350.4791436581429,159.4459264293603,0.1186976507306099,0.07619971036911011,0.0340043681324761,0.021829607965085155
0.0,-156.0,350.5216944456857,159.57241163590868,0.11871898174285889,0.07625880837440491,0.034010479015196333,0.021846538294030812
0.0,-155.0,350.4793026809279,160.28152058156226,0.11870040744543076,0.07659509778022766,0.034005157872820706,0.02194287809820561
0.0,-154.0,350.564217130906,160.4230202490731,0.11874262988567352,0.07666055858135223,0.034017253706691765,0.02196163123359265
0.0,-153.0,350.61997945189114,160.60958593171338,0.11877065151929855,0.07674786448478699,0.03402528131057028,0.02198664252888072
0.0,-152.0,350.5593907671995,161.42667515443014,0.11874347925186157,0.0771355852484703,0.034017497032095174,0.022097716329384898
0.0,-151.0,350.6363171604548,161.49601967037515,0.11878155171871185,0.07716706395149231,0.0340284039865801,0.02210673431218148
0.0,-150.0,351.09856345779997,161.57560150470852,0.11900925636291504,0.07719668745994568,0.034093636538968575,0.02211522082096136
0.0,-149.0,350.3881239686469,162.15720400165017,0.11866158246994019,0.07748425006866455,0.03399403534056073,0.022197601427769074
0.0,-148.0,350.43750160779973,162.29470326447662,0.11868631094694138,0.07754846662282944,0.034001119524896255,0.022215998112648135
0.0,-147.0,350.43375177947456,162.92214313446357,0.1186864823102951,0.07784544676542282,0.03400116861686362,0.022301076643657002
0.0,-146.0,350.50058976173625,163.11045582029305,0.11871996521949768,0.0779334157705307,0.03401076076040031,0.02232627790343798
0.0,-145.0,350.91917818961235,163.29999738609928,0.1189265325665474,0.07801597565412521,0.03406993792536812,0.02234992956427818
0.0,-144.0,350.6780449168349,164.1761925445208,0.11881069093942642,0.0784347802400589,0.03403675175546112,0.022469908221997396
0.0,-143.0,350.7385017505156,164.50745767589083,0.1188415065407753,0.07859054952859879,0.034045579771847155,0.02251453282917593
0.0,-142.0,350.79601718449595,165.2549429161425,0.11887221038341522,0.07894338667392731,0.03405437577173114,0.022615613209911584
0.0,-141.0,350.72752289225224,165.33237652417327,0.11883874982595444,0.0789811834692955,0.034044790031503215,0.022626441192492346
0.0,-140.0,351.3003889994572,165.63542609010312,0.11912167072296143,0.07911510020494461,0.0341258408694915,0.02266480550529357
0.0,-139.0,350.8032644744543,166.39201872845902,0.11887942999601364,0.07948149740695953,0.0340564440376585,0.022769770555296744
0.0,-138.0,350.4824836601307,166.58188608776845,0.11872221529483795,0.07957664877176285,0.0340114053592761,0.022797029409077223
0.0,-137.0,350.07893131633523,167.18381289321877,0.11852563917636871,0.0798681378364563,0.03395509046938042,0.022880534861714652
0.0,-136.0,350.8532012672771,167.3122932841277,0.11890697479248047,0.07991631329059601,0.03406433503779538,0.022894336110504055
0.0,-135.0,350.872268183385,167.44346776973458,0.11891677230596542,0.0799781009554863,0.034067141817665236,0.022912036969796566
0.0,-134.0,350.1280676036906,168.34645166853497,0.11855355650186539,0.08041756600141525,0.033963088191202154,0.023037934411429435
0.0,-133.0,350.78927682908255,168.56159561324827,0.118879534304142,0.0805087611079216,0.03405647391972556,0.023064059880776117
