iteration,vdiffx,vdiffy,cx_raw,cy_raw,next_vdiffx,next_vdiffy
0,20.0,20.0,721.1194899745374,302.2363196165045,20.0,-20.0
1,20.0,-20.0,710.958762000454,428.9804469691403,20.0,20.0
2,-20.0,-20.0,549.3610085043446,423.0481031885832,20.0,20.0
3,-20.0,20.0,559.7193308018618,299.50930137697907,0.0,0.0
4,20.0,20.0,721.1757384614543,302.25875744680076,20.0,-20.0
5,20.0,-20.0,710.893836798727,429.0207733161024,20.0,20.0
6,-20.0,-20.0,549.3541634784284,423.0145056080498,0.0,0.0
7,-20.0,20.0,559.6418129239767,299.3627197627457,-20.0,-20.0
8,0.0,0.0,635.2783811738191,363.3491276827378,-20.0,20.0
9,20.0,20.0,721.1322888536774,302.1908181962731,0.0,0.0
10,20.0,-20.0,710.8808775011979,428.982692991722,-20.0,20.0
11,0.0,0.0,635.3154324499359,363.4736535519246,-20.0,-20.0
12,-20.0,-20.0,549.2933937417532,423.04053327446223,20.0,-20.0
13,20.0,-20.0,710.9219432713741,428.94533247553704,-20.0,-20.0
14,0.0,0.0,635.3126086232969,363.45518179169477,-20.0,-20.0
15,-20.0,-20.0,549.2677597672936,423.1005011190648,20.0,20.0
16,20.0,20.0,721.1833587197652,302.2029007418338,-20.0,20.0
17,0.0,0.0,635.3286918831949,363.40987899592,-20.0,-20.0
18,-20.0,-20.0,549.2778564015642,422.9299242192962,0.0,0.0
19,0.0,0.0,635.2673268945723,363.3745421440478,-20.0,20.0
