iteration,vdiffx,vdiffy,cx_raw,cy_raw,next_vdiffx,next_vdiffy
0,-10.0,10.0,611.9742719375998,329.5793914782524,10.0,10.0
1,0.0,0.0,648.4713135282618,360.380641400447,-10.0,10.0
2,-10.0,10.0,611.989008166331,329.50704158555465,10.0,10.0
3,10.0,-10.0,684.8534261652771,391.66654768899315,-10.0,10.0
4,-10.0,10.0,611.9260366272009,329.56931166556603,-10.0,-10.0
5,10.0,10.0,689.8426781544953,331.3007806208104,-10.0,10.0
6,10.0,-10.0,684.9025110207482,391.7248144395033,0.0,0.0
7,10.0,10.0,689.8932455889814,331.3708432774128,10.0,-10.0
8,10.0,-10.0,684.7651559451259,391.7517199185127,-10.0,-10.0
9,-10.0,10.0,611.9505989934964,329.6151997156923,0.0,0.0
10,10.0,-10.0,684.8386251878655,391.70664845430775,-10.0,10.0
11,10.0,10.0,689.8472378841906,331.2940073926941,-10.0,10.0
12,-10.0,-10.0,606.9736266589881,389.14840432482305,10.0,10.0
13,10.0,10.0,689.8634858064858,331.31793376333184,0.0,0.0
14,10.0,-10.0,684.8562133595832,391.7803742760543,0.0,0.0
15,-10.0,10.0,611.9807731729937,329.5909788185553,10.0,-10.0
16,10.0,-10.0,684.8369404945855,391.71110713807064,-10.0,10.0
17,-10.0,10.0,611.9794874592345,329.5683887948226,-10.0,-10.0
18,0.0,0.0,648.4574238022569,360.48351074130136,-10.0,10.0
19,-10.0,10.0,611.9573168219484,329.59630480234745,10.0,10.0
20,10.0,10.0,689.7821407305883,331.2462594592143,10.0,-10.0
21,-10.0,10.0,611.9386463198085,329.5498598159912,10.0,-10.0
22,-10.0,-10.0,606.9522717504789,389.124081933406,10.0,10.0
23,0.0,0.0,648.4602460217626,360.54142961047796,-10.0,-10.0
24,10.0,10.0,689.8407840355654,331.31266997353237,-10.0,10.0
25,0.0,0.0,648.4282913856116,360.49174939141767,10.0,10.0
26,-10.0,-10.0,606.907938305662,389.1726736995691,-10.0,10.0
27,0.0,0.0,648.3710756523692,360.4565835470694,-10.0,10.0
28,-10.0,-10.0,606.8669398321068,389.1574749428205,10.0,-10.0
29,0.0,0.0,647.492969891213,359.624730155726,-10.0,10.0
30,-10.0,10.0,609.8048034190912,328.3778433320528,0.0,0.0
31,0.0,0.0,648.4325132885698,360.4776467292436,10.0,-10.0
32,10.0,-10.0,684.8267893691026,391.71511921328533,-10.0,10.0
33,10.0,10.0,689.7841107463413,331.29481363883434,-10.0,10.0
34,0.0,0.0,648.4480798826368,360.4530862381146,-10.0,-10.0
35,-10.0,-10.0,606.9346451011276,389.03635295436015,-10.0,10.0
36,10.0,-10.0,684.8593768092433,391.6735924642648,-10.0,-10.0
