vdiffx,vdiffy,cx_raw,cy_raw
-120.0,-120.0,219.58677812130236,701.1463223787167
-110.0,-120.0,219.467076148329,701.1615862963528
-100.0,-120.0,252.2481516698038,702.1770127879223
-90.0,-120.0,286.84124908359587,703.2841744437179
-80.0,-120.0,323.45543910959464,704.3954017385653
-70.0,-120.0,362.38780279162927,705.5845521500553
-60.0,-120.0,403.77615008439,706.8203791058986
-50.0,-120.0,447.56841796169135,708.0606929887965
-40.0,-120.0,493.4310052328499,709.3730137870062
-30.0,-120.0,540.1821984845296,710.3549778993896
-20.0,-120.0,586.8425678952474,711.085990543162
-10.0,-120.0,632.7702909090909,711.6609090909091
0.0,-120.0,677.7253603603604,711.9451351351352
10.0,-120.0,722.0865115215278,712.0165246726514
20.0,-120.0,766.2787664002412,711.9941185341578
30.0,-120.0,811.4240158970476,712.112036336109
40.0,-120.0,856.7530553105707,712.2240141111251
50.0,-120.0,903.4969633871248,712.1504424778761
60.0,-120.0,949.9943293885601,711.2702169625246
70.0,-120.0,996.0010124873439,710.7664529193385
80.0,-120.0,1040.591726618705,709.7819244604317
90.0,-120.0,1084.9607403252944,708.2462142456534
100.0,-120.0,1125.6829100892244,706.363074811256
110.0,-120.0,1162.1650717703349,704.3668261562998
120.0,-120.0,1191.710944808232,702.4312441534144
-120.0,-110.0,1216.8087056128293,703.2153493699885
-110.0,-110.0,221.22247978535054,679.86923905306
-100.0,-110.0,253.77970428873175,681.0175590045
-90.0,-110.0,288.39205895900506,682.220985720866
-80.0,-110.0,324.7965094689937,683.5333642777572
-70.0,-110.0,363.5113033770583,684.920401897851
-60.0,-110.0,404.7211406687067,686.4411173897535
-50.0,-110.0,448.39850656434567,688.0002445171726
-40.0,-110.0,494.05992431801496,689.7971270967863
-30.0,-110.0,540.5810671127065,691.5505271664568
-20.0,-110.0,587.1341305692489,693.3821671571292
-10.0,-110.0,632.9098679390604,695.1075085003663
0.0,-110.0,677.9696449134465,696.9157684103222
10.0,-110.0,722.5889708664397,698.6774498675748
20.0,-110.0,767.3071345872796,700.4090382826884
30.0,-110.0,812.4944496455798,702.0630504977169
40.0,-110.0,858.6129960529641,703.7832241255275
50.0,-110.0,905.5267398388612,705.4553869529578
60.0,-110.0,952.2567963452359,707.0331878802778
70.0,-110.0,997.9879223949633,708.5954644738533
80.0,-110.0,1041.4555768653095,709.7994084617695
90.0,-110.0,1082.3005135881488,710.5921232611557
100.0,-110.0,1120.8447271113741,711.1320514716758
110.0,-110.0,1157.167724042295,711.4719015427283
120.0,-110.0,1191.350635418386,711.5971694999175
-120.0,-100.0,1223.406469620695,711.6203957533769
-110.0,-100.0,223.3571402496897,656.1469299846682
-100.0,-100.0,255.99807088133164,657.2150508001249
-90.0,-100.0,290.38798308621233,658.4462396366121
-80.0,-100.0,326.99152260022953,659.5804612593936
-70.0,-100.0,365.69664281988224,661.0214434756688
-60.0,-100.0,406.8110146337812,662.4022979901943
-50.0,-100.0,450.3789665061009,663.9984255805672
-40.0,-100.0,496.0908325537886,665.7089242282507
-30.0,-100.0,542.6743690409422,667.4907272387362
-20.0,-100.0,589.0421727144028,669.2248155875121
-10.0,-100.0,634.8692091023645,671.0019457416055
0.0,-100.0,679.7317416771706,672.7428264254468
10.0,-100.0,724.2560422822118,674.6290029546163
20.0,-100.0,768.85164785059,676.4225501103431
30.0,-100.0,813.8265998444031,678.3429827576849
40.0,-100.0,859.781354311387,680.3049456002021
50.0,-100.0,906.2599721706864,682.2130012844299
60.0,-100.0,952.8095659092918,684.2120590575546
70.0,-100.0,998.246483788783,686.1899975569748
80.0,-100.0,1041.4492670656605,688.0455893832943
90.0,-100.0,1082.0100446619551,689.8299765567515
100.0,-100.0,1120.2231856515025,691.6377241952725
110.0,-100.0,1156.249508972788,693.077641054911
120.0,-100.0,1190.1787515185808,694.6690742065936
-120.0,-90.0,1222.0802362908296,696.1291657014264
-110.0,-90.0,225.36478079484738,631.1044609529386
-100.0,-90.0,258.14151117339037,632.1118629692455
-90.0,-90.0,292.5199510494697,633.2340169101832
-80.0,-90.0,329.0349402754225,634.3183385200231
-70.0,-90.0,367.79431651703544,635.6701288456482
-60.0,-90.0,409.0034640302588,636.957888626746
-50.0,-90.0,452.39143340221676,638.4160060116476
-40.0,-90.0,498.1185226952354,639.9966920402218
-30.0,-90.0,544.6666043799985,641.6030719784737
-20.0,-90.0,591.1557062483699,643.3275457356831
-10.0,-90.0,636.9661849175468,644.9442838614045
0.0,-90.0,681.8282875013879,646.6130130648803
10.0,-90.0,726.3104699093158,648.3630118164331
20.0,-90.0,770.9118571011104,649.9922011981298
30.0,-90.0,816.0090464858581,651.7373249286999
40.0,-90.0,861.6515634282011,653.6209249158431
50.0,-90.0,908.2993629439818,655.4055092889173
60.0,-90.0,954.9226536930562,657.4538876603273
70.0,-90.0,1000.1905524698344,659.2742499956471
80.0,-90.0,1043.3050850378233,661.1426085158445
90.0,-90.0,1084.0454522188668,662.9686748221324
100.0,-90.0,1122.1308293632155,664.557572300879
110.0,-90.0,1158.1965290106352,666.1455094489887
120.0,-90.0,1191.9525472069238,667.7259047993706
-120.0,-80.0,1223.9403417834292,669.2089252449988
-110.0,-80.0,227.43443551333576,604.5345451223968
-100.0,-80.0,260.0484408671468,605.4180649439154
-90.0,-80.0,294.5652214210243,606.4811574322947
-80.0,-80.0,331.1083005573471,607.4280761272764
-70.0,-80.0,369.8807306657637,608.7403164211674
-60.0,-80.0,410.6494922903347,609.928262504701
-50.0,-80.0,454.7383711040127,611.2380403349273
-40.0,-80.0,500.0242703878761,612.777552704629
-30.0,-80.0,546.6935079513564,614.392067352666
-20.0,-80.0,593.2019807530598,615.8342333925068
-10.0,-80.0,638.95603038581,617.3965123676234
0.0,-80.0,683.830083049088,618.8731833012013
10.0,-80.0,728.2225556987663,620.4981955440987
20.0,-80.0,772.8169975299606,622.0537370780349
30.0,-80.0,817.8378501521806,623.6841021341742
40.0,-80.0,863.5877774157344,625.3659896455596
50.0,-80.0,910.2045511647106,627.172194106457
60.0,-80.0,956.7190792040577,628.9666761252793
70.0,-80.0,1002.0908867944361,630.7679653831331
80.0,-80.0,1045.3221103963479,632.3844504392335
90.0,-80.0,1085.862891968268,633.9637737904736
100.0,-80.0,1124.0873460622126,635.6280326163552
110.0,-80.0,1160.0361892160106,637.0977836586172
120.0,-80.0,1193.851513318181,638.5093284497277
-120.0,-70.0,1225.8333468969222,639.8132456582953
-110.0,-70.0,229.51025120059106,576.239564093092
-100.0,-70.0,261.8900950549247,576.9591855605281
-90.0,-70.0,296.5757006215341,577.8397967918419
-80.0,-70.0,332.9854542042042,579.0492304804804
-70.0,-70.0,371.7134061643578,579.9828621841799
-60.0,-70.0,412.8657479648813,581.1097366095768
-50.0,-70.0,456.55154726659,582.3705142469215
-40.0,-70.0,502.09825048806124,583.7141274966211
-30.0,-70.0,548.5960625340165,585.0555899630276
-20.0,-70.0,595.0744617336468,586.4407813724392
-10.0,-70.0,640.7421512063539,587.9737936460363
0.0,-70.0,685.7945488756823,589.4538815507573
10.0,-70.0,730.142461248545,590.8301771759011
20.0,-70.0,774.6354880058598,592.2170115363487
30.0,-70.0,819.6765017538731,593.7311824028062
40.0,-70.0,865.4233409197644,595.3225858892381
50.0,-70.0,912.1004839372132,596.8792835586349
60.0,-70.0,958.6152349278234,598.4602320973677
70.0,-70.0,1003.9101362263887,600.2001966154062
80.0,-70.0,1047.056179775281,601.6803128034402
90.0,-70.0,1087.7249575551782,603.2065133508257
100.0,-70.0,1125.8160422914655,604.5826089903252
110.0,-70.0,1161.8387709218086,606.049496211175
120.0,-70.0,1195.672312563908,607.3053567305473
-120.0,-60.0,1227.545476808542,608.5299178788918
-110.0,-60.0,231.45652133735007,545.9712421682962
-100.0,-60.0,263.8442199817365,546.7459326487635
-90.0,-60.0,298.28200588871084,547.5106779471507
-80.0,-60.0,334.8201456401787,548.4219811568635
-70.0,-60.0,373.6833550433256,549.2875724453003
-60.0,-60.0,414.69165221325693,550.3561760048262
-50.0,-60.0,458.3355361289957,551.5580310782999
-40.0,-60.0,503.9192170148692,552.7219838132881
-30.0,-60.0,550.5336627896052,553.9754035212987
-20.0,-60.0,597.0802198214419,555.3047490434391
-10.0,-60.0,642.589044424094,556.5668604107874
0.0,-60.0,687.42891480957,557.7865208317805
10.0,-60.0,731.8939301608406,559.2109393754732
20.0,-60.0,776.4508631034801,560.4348564571218
30.0,-60.0,821.4511574454112,561.8288914427479
40.0,-60.0,867.2626134301271,563.1842831215971
50.0,-60.0,913.8761992023283,564.6246451798354
60.0,-60.0,960.401290115647,566.0372244694311
70.0,-60.0,1005.7489611514862,567.5092921684084
80.0,-60.0,1048.7858736577882,568.9535455306094
90.0,-60.0,1089.3900981573963,570.3107628723953
100.0,-60.0,1127.585321318072,571.7029604206468
110.0,-60.0,1163.5651948486368,572.7518146847299
120.0,-60.0,1197.3711193721604,573.9784551838084
-120.0,-50.0,1229.3148269748506,575.1395364107952
-110.0,-50.0,233.2945865468198,514.1621446669996
-100.0,-50.0,265.7562141847138,514.8636600431644
-90.0,-50.0,300.02876363227523,515.6048232957314
-80.0,-50.0,336.5399149384621,516.3897775603147
-70.0,-50.0,375.26297793562037,517.2125585612815
-60.0,-50.0,416.45622597422175,518.1223336097083
-50.0,-50.0,460.08978598852013,519.1223438628501
-40.0,-50.0,505.75912491498525,520.1435048741782
-30.0,-50.0,552.2789984574288,521.2635727454006
-20.0,-50.0,598.5540124615269,522.4203888596952
-10.0,-50.0,644.173358446935,523.565484959812
0.0,-50.0,689.0400932400933,524.6851841491841
10.0,-50.0,733.6267806796261,525.841705000742
20.0,-50.0,778.1516267535255,526.937761409483
30.0,-50.0,823.0617121800835,528.1258140425765
40.0,-50.0,868.9234081372012,529.3363619777413
50.0,-50.0,915.6484564845648,530.7357393573935
60.0,-50.0,962.0675793714458,531.9430985614204
70.0,-50.0,1007.3086448102875,533.2480746131562
80.0,-50.0,1050.4859513351462,534.4946315275745
90.0,-50.0,1091.1172123947156,535.6272284134558
100.0,-50.0,1129.1566559551484,536.8459934363462
110.0,-50.0,1165.1099601862475,537.971219380525
120.0,-50.0,1199.0981341736463,538.9167592669376
-120.0,-40.0,1231.0693548123581,539.9412158740014
-110.0,-40.0,234.40821749795583,481.65264253326393
-100.0,-40.0,267.21973144349124,482.2477806788512
-90.0,-40.0,301.66097832024263,482.94434084873143
-80.0,-40.0,338.0032930221995,483.5669675807642
-70.0,-40.0,376.7307976576269,484.3772054503762
-60.0,-40.0,417.8821314360323,485.10708271046605
-50.0,-40.0,461.33296207501934,486.0539520132898
-40.0,-40.0,507.1350843208751,486.8455066848982
-30.0,-40.0,553.5992055274206,487.8346103883879
-20.0,-40.0,600.0076363157598,488.78279760001504
-10.0,-40.0,645.7122708834135,489.8283503605769
0.0,-40.0,690.8030173693587,490.8064689726841
10.0,-40.0,735.0975099121799,491.7490458368844
20.0,-40.0,779.7133499400313,492.7404742134883
30.0,-40.0,824.7189641623568,493.8648367111972
40.0,-40.0,870.4238369436066,494.85611918471807
50.0,-40.0,916.9481261795632,496.07439561427157
60.0,-40.0,963.5239136670014,497.1288720780152
70.0,-40.0,1008.8355855455918,498.19749622658264
80.0,-40.0,1052.0580823547941,499.2792118019705
90.0,-40.0,1092.4831328632656,500.31176551914837
100.0,-40.0,1130.6944054987518,501.3472454946483
110.0,-40.0,1166.784603185315,502.2912842488865
120.0,-40.0,1200.6327983951855,503.1572550986292
-120.0,-30.0,1232.588490699472,504.0537144548789
-110.0,-30.0,235.89347797673508,449.5324233993689
-100.0,-30.0,268.35563254986425,449.9476542747448
-90.0,-30.0,302.6579431877959,450.5417637333734
-80.0,-30.0,339.09770604837945,451.0737436305431
-70.0,-30.0,377.9971768005002,451.69731132879855
-60.0,-30.0,419.1378398935159,452.31340559041644
-50.0,-30.0,462.86996406279553,453.12579912994136
-40.0,-30.0,508.4952715329294,453.93068690186306
-30.0,-30.0,554.7965394920564,454.6799501867995
-20.0,-30.0,601.2343635371795,455.51204830608907
-10.0,-30.0,647.0577888030671,456.3248764353235
0.0,-30.0,691.9765588635051,457.09931296430767
10.0,-30.0,736.2648286610141,457.9475500473107
20.0,-30.0,780.7964265278624,458.7593812872621
30.0,-30.0,825.8024761764598,459.7164170867214
40.0,-30.0,871.5512033286287,460.53373535934895
50.0,-30.0,918.1567020775171,461.5066350023567
60.0,-30.0,964.726650129422,462.44826718435434
70.0,-30.0,1009.9845738252648,463.41533375986353
80.0,-30.0,1053.0008253433077,464.31046956766056
90.0,-30.0,1093.7294344138613,465.2332760983055
100.0,-30.0,1131.7738111552692,466.0029464163355
110.0,-30.0,1167.909670886076,466.79124050632913
120.0,-30.0,1201.6736174674234,467.54637288022764
-120.0,-20.0,1233.6637053336835,468.29046242774564
-110.0,-20.0,236.59569687096229,417.8896503941726
-100.0,-20.0,269.2620593604728,418.292718273013
-90.0,-20.0,303.72455497184325,418.7103065119619
-80.0,-20.0,340.238423384196,419.20044678353713
-70.0,-20.0,378.9821153663404,419.7548227691723
-60.0,-20.0,420.0751113818971,420.26524123224556
-50.0,-20.0,463.70181300427146,420.87189368770765
-40.0,-20.0,509.31406587575333,421.5573854375924
-30.0,-20.0,555.8081789426119,422.21072450670283
-20.0,-20.0,602.1595183076894,422.8525052133236
-10.0,-20.0,647.9186179059294,423.6209519182255
0.0,-20.0,692.7824788080212,424.25325815004294
10.0,-20.0,737.2637260548856,424.9739321082849
20.0,-20.0,781.8458234242206,425.5450472872076
30.0,-20.0,826.8037638850637,426.3392821077756
40.0,-20.0,872.5460460186048,427.0289306796791
50.0,-20.0,919.0909898477157,427.82710297316896
60.0,-20.0,965.7057093146311,428.70490215422143
70.0,-20.0,1010.9742724139156,429.45064141288515
80.0,-20.0,1054.0733516097287,430.2017784338535
90.0,-20.0,1094.6481019721355,430.8705644387871
100.0,-20.0,1132.846536351166,431.54158093278465
110.0,-20.0,1168.838153016515,432.20475227502527
120.0,-20.0,1202.7087891866572,432.84800428251197
-120.0,-10.0,1234.5892047522918,433.4350862097495
-110.0,-10.0,237.35537004874223,386.943862401255
-100.0,-10.0,270.01387398580596,387.30430526533763
-90.0,-10.0,304.51235980557186,387.6686966882908
-80.0,-10.0,340.9813980028531,388.05049928673327
-70.0,-10.0,379.5045403276683,388.44160660689363
-60.0,-10.0,420.7537633999848,388.8690792974987
-50.0,-10.0,464.33717919427306,389.34972583961616
-40.0,-10.0,509.90518667858566,389.8768472906404
-30.0,-10.0,556.492932728647,390.4204459561602
-20.0,-10.0,602.7028895652501,390.8750422725735
-10.0,-10.0,648.6219854703415,391.47017300778907
0.0,-10.0,693.5909632276314,392.0391729938961
10.0,-10.0,738.0109994064401,392.56798115447396
20.0,-10.0,782.4391373330382,393.0577632647037
30.0,-10.0,827.4329212370226,393.5677574379104
40.0,-10.0,873.2584370260739,394.19326134225
50.0,-10.0,919.7840177861326,394.8784795025667
60.0,-10.0,966.4247574991483,395.4563677765227
70.0,-10.0,1011.6063461640846,396.0649346039859
80.0,-10.0,1054.8224315551793,396.64458086367483
90.0,-10.0,1095.4173518373048,397.15681242908266
100.0,-10.0,1133.5262150322515,397.68895519299093
110.0,-10.0,1169.609474880038,398.3033555453821
120.0,-10.0,1203.3481653522256,398.8258254244085
-120.0,0.0,1235.459228740936,399.250840474621
-110.0,0.0,237.70834897514828,356.4209400105113
-100.0,0.0,270.3783225321687,356.7573588804358
-90.0,0.0,304.679525727577,356.92443410676805
-80.0,0.0,341.2287751502854,357.15233345343523
-70.0,0.0,379.9390683739481,357.53498845485944
-60.0,0.0,421.0662726406101,357.9243088655863
-50.0,0.0,464.76968601332067,358.27497621313034
-40.0,0.0,510.28210478394476,358.5986190674912
-30.0,0.0,556.795359409035,358.92620513306184
-20.0,0.0,603.3277170442166,359.31058642323154
-10.0,0.0,648.9279454722492,359.7747734252116
0.0,0.0,693.9335297298305,360.12833516678165
10.0,0.0,738.2836017759944,360.5607014806145
20.0,0.0,782.8968132978234,360.9179722655891
30.0,0.0,827.8560947354872,361.3608296710369
40.0,0.0,873.6806941590843,361.81226152039915
50.0,0.0,920.3029455054241,362.23693056893137
60.0,0.0,966.7687861271677,362.64188860677433
70.0,0.0,1012.0664123090089,363.08577439426625
80.0,0.0,1055.281911430934,363.5566092510161
90.0,0.0,1095.8299826086957,363.94928695652175
100.0,0.0,1134.0657874294395,364.35524521396883
110.0,0.0,1170.0515311330385,364.6596291255529
120.0,0.0,1204.0068737740373,365.06392609854646
-120.0,10.0,1235.827280837987,365.40770908369956
-110.0,10.0,237.98347988774555,325.8476520112255
-100.0,10.0,270.33083358456435,326.0660611998794
-90.0,10.0,304.9656220322887,326.16233618233616
-80.0,10.0,341.47808932009224,326.3104664239559
-70.0,10.0,380.1489078062808,326.58609000361844
-60.0,10.0,421.175885357874,326.70168557598487
-50.0,10.0,464.9692125743934,326.94096215473826
-40.0,10.0,510.4297138930773,327.17351554596985
-30.0,10.0,557.0517789553369,327.4399697199092
-20.0,10.0,603.588864612371,327.6674451894824
-10.0,10.0,649.1899771270014,327.91418875848365
0.0,10.0,694.1308079865646,328.1526217577906
10.0,10.0,738.513752931105,328.4703911862136
20.0,10.0,783.1399031468081,328.73245686718593
30.0,10.0,828.1205824637336,328.9602032020834
40.0,10.0,873.8849820341718,329.22541614724645
50.0,10.0,920.5300483829895,329.59858488850085
60.0,10.0,967.0662097992662,329.8576156558026
70.0,10.0,1012.4435000622344,330.1111328437561
80.0,10.0,1055.6465898714616,330.3912692280677
90.0,10.0,1096.1976268055967,330.59953651269365
100.0,10.0,1134.3433132353196,330.94055249382376
110.0,10.0,1170.31022748541,331.1863270549402
120.0,10.0,1204.2448368701819,331.3443201391328
-120.0,20.0,1236.2044682044682,331.5403425403425
-110.0,20.0,237.91487843799868,294.9089458368535
-100.0,20.0,270.51805909562916,295.0309072028698
-90.0,20.0,305.0009469517623,295.06717675801593
-80.0,20.0,341.43892245146094,295.1243398305407
-70.0,20.0,379.9741168374369,295.129454044961
-60.0,20.0,421.2713184198001,295.2114612089481
-50.0,20.0,464.83885690477996,295.3792705098099
-40.0,20.0,510.45184721590044,295.4443938704294
-30.0,20.0,557.0523703058093,295.5605934290803
-20.0,20.0,603.3814236700223,295.68380273724694
-10.0,20.0,649.1535392703342,295.82998079826996
0.0,20.0,694.0729567262816,295.8695627823619
10.0,20.0,738.5018642803877,296.01705816554806
20.0,20.0,783.0574204132795,296.09937510368854
30.0,20.0,828.098754972742,296.2863931044644
40.0,20.0,873.9671526179254,296.4106470824656
50.0,20.0,920.5521246768379,296.52878418235446
60.0,20.0,967.0423627150813,296.6127553669585
70.0,20.0,1012.5281903337251,296.7037076610749
80.0,20.0,1055.7291996203733,296.87386199866427
90.0,20.0,1096.2938012872783,296.8668829479017
100.0,20.0,1134.504386492008,297.06329939739385
110.0,20.0,1170.532384341637,297.0948652770717
120.0,20.0,1204.3174098020168,297.20612374794814
-120.0,30.0,1236.3223185714523,297.3116575199376
-110.0,30.0,237.62054420487715,263.3786272479051
-100.0,30.0,270.12722665557277,263.3879013653039
-90.0,30.0,304.6899229199728,263.48513186730145
-80.0,30.0,341.0452928711972,263.3955842288482
-70.0,30.0,379.8031305869375,263.38107193122596
-60.0,30.0,420.84851205256524,263.41696909500706
-50.0,30.0,464.5926581748253,263.39123398259744
-40.0,30.0,510.08328737949,263.20915020251385
-30.0,30.0,556.7497297604824,263.250933985701
-20.0,30.0,603.2030281915595,263.1229355379371
-10.0,30.0,648.9220502068553,263.0936932552088
0.0,30.0,693.8512005979632,263.1027749229188
10.0,30.0,738.2590747727822,263.0465959147259
20.0,30.0,782.8288480047383,262.96325979121934
30.0,30.0,827.851033236861,263.0198905008572
40.0,30.0,873.7054769411247,263.0189713322091
50.0,30.0,920.327973168963,262.8598622189993
