vdiffx,vdiffy,cx_raw,cy_raw
-170.0,0.0,89.1228886312228,340.69666107805705
-169.0,0.0,90.22055119074543,340.7239140629296
-168.0,0.0,91.80444157162323,340.81908929593084
-167.0,0.0,93.53959284077972,340.89532527682815
-166.0,0.0,95.28137761392232,340.98430302937544
-165.0,0.0,97.02561047669288,340.9895319758423
-164.0,0.0,98.76595559615329,341.0298334297008
-163.0,0.0,100.53847593901581,341.13996318619587
-162.0,0.0,102.32488488813367,341.13689331463837
-161.0,0.0,104.1684490217812,341.2064254992395
-160.0,0.0,106.06266438552437,341.22436447970523
-159.0,0.0,107.89975892875714,341.288398547795
-158.0,0.0,109.81274314981022,341.27553843629954
-157.0,0.0,111.75840892279139,341.26245485573077
-156.0,0.0,113.68831473962278,341.1698744887061
-155.0,0.0,115.67484628795705,341.25947850407675
-154.0,0.0,117.71870410023668,341.2733051734261
-153.0,0.0,119.78522645968094,341.38319334407134
-152.0,0.0,121.85098416547214,341.3627859036647
-151.0,0.0,123.92053484863054,341.4078647713013
-150.0,0.0,126.04249617394969,341.4228007959006
-149.0,0.0,128.1115120461191,341.487094463617
-148.0,0.0,130.2822126267847,341.51168865451467
-147.0,0.0,132.43414296975092,341.52076608818135
-146.0,0.0,134.64322046872758,341.52738761973006
-145.0,0.0,136.81064026709984,341.6031182207712
-144.0,0.0,139.0036999982718,341.6536438078671
-143.0,0.0,141.21564079607427,341.6243006498442
-142.0,0.0,143.50396673145826,341.7086069413599
-141.0,0.0,145.7493389627972,341.7560733597264
-140.0,0.0,148.0468799405471,341.7901883471088
-139.0,0.0,150.38781306150148,341.7630728525023
-138.0,0.0,152.70021951877317,341.8727957988449
-137.0,0.0,155.08570331432244,341.86907280008154
-136.0,0.0,157.32223918571097,342.0010749162196
-135.0,0.0,159.67053583203582,342.0373998566036
-134.0,0.0,162.09097318950725,342.05122342311614
-133.0,0.0,164.4294503124826,342.0531054512706
-132.0,0.0,166.91445317715616,342.13072133885197
-131.0,0.0,169.33318161369408,342.0930885759203
-130.0,0.0,171.78560118624742,342.16523561225426
-129.0,0.0,174.25127198640277,342.2368416160046
-128.0,0.0,176.7021357266053,342.2290727658985
-127.0,0.0,179.20561968652655,342.2654748854831
-126.0,0.0,181.69135397877514,342.3134032325618
-125.0,0.0,184.23973661000448,342.39556964608755
-124.0,0.0,186.89007939215415,342.3957911908347
