iteration,vdiffx,vdiffy,cx_raw,cy_raw,next_vdiffx,next_vdiffy
0,-50.0,50.0,384.1756515547386,196.32532298726042,50.0,50.0
1,-50.0,-50.0,381.2614083776939,514.746324311352,50.0,50.0
2,50.0,-50.0,840.9223724161392,525.3937832746633,0.0,0.0
3,-50.0,-50.0,381.278511828858,514.6726937426355,50.0,50.0
4,-50.0,50.0,384.12829154146834,196.22984875238203,0.0,0.0
5,-50.0,-50.0,381.3106808858656,514.6897963562982,0.0,0.0
6,50.0,-50.0,840.9339081706231,525.3295662648372,-50.0,50.0
7,50.0,50.0,844.2980793379816,193.45332031144525,0.0,0.0
8,-50.0,50.0,384.16257705714816,196.36768185865307,-50.0,-50.0
9,50.0,50.0,844.3332386829758,193.5157720626938,0.0,0.0
10,50.0,-50.0,840.9170542888851,525.3768060708495,-50.0,50.0
11,50.0,50.0,844.3152664434591,193.6340271514609,-50.0,50.0
12,-50.0,-50.0,381.2714186425017,514.7363618825513,0.0,0.0
13,0.0,0.0,616.252764909763,357.4886026062768,50.0,-50.0
14,50.0,50.0,844.2689178434329,193.67900473018383,0.0,0.0
15,-50.0,-50.0,381.27892874939954,514.7889209633411,50.0,-50.0
16,-50.0,50.0,384.2145052687818,196.43115192370465,-50.0,-50.0
17,50.0,-50.0,840.91878074046,525.4069803777262,50.0,50.0
18,0.0,0.0,616.2513435389468,357.49634909703286,-50.0,50.0
19,-50.0,50.0,384.18415049055966,196.44324912601078,-50.0,-50.0
20,0.0,0.0,616.2935679318272,357.4889675744179,-50.0,-50.0
21,50.0,-50.0,840.8561231666087,525.3856717769207,-50.0,50.0
22,-50.0,50.0,384.20488997072533,196.42496062035124,-50.0,-50.0
23,0.0,0.0,616.2254445959813,357.507594707867,50.0,-50.0
24,-50.0,-50.0,381.36772204681967,514.7610222356112,50.0,-50.0
25,50.0,-50.0,840.8811633499371,525.3787574997536,-50.0,50.0
26,-50.0,50.0,384.2368928264404,196.46378236130968,0.0,0.0
27,50.0,50.0,844.3082237427407,193.59598337257975,-50.0,-50.0
28,50.0,-50.0,840.8804417272281,525.4627194992419,50.0,50.0
29,50.0,50.0,844.3383224608057,193.61960113220994,50.0,-50.0
30,-50.0,-50.0,381.29368294560646,514.7416235537189,-50.0,50.0
31,0.0,0.0,616.3391738817003,357.4917231978505,50.0,50.0
32,50.0,50.0,844.3947576741575,193.67714432521757,-50.0,50.0
33,0.0,0.0,616.3175175803879,357.4372230967854,-50.0,50.0
34,-50.0,50.0,384.2114969963321,196.46428934357013,-50.0,-50.0
35,0.0,0.0,616.2783624156685,357.5499500622118,-50.0,50.0
36,50.0,-50.0,840.8532138909605,525.404597138927,-50.0,50.0
37,50.0,50.0,844.3883604691923,193.65012813156076,0.0,0.0
38,-50.0,50.0,384.24970864681706,196.47705135690612,50.0,-50.0
39,50.0,50.0,844.280108586718,193.58085203814235,0.0,0.0
40,-50.0,50.0,384.21248706979355,196.40940305324258,0.0,0.0
41,0.0,0.0,616.3782260568664,357.57137864880343,-50.0,-50.0
42,-50.0,50.0,384.2100493748305,196.6277559800666,50.0,-50.0
43,50.0,50.0,844.3522483862912,193.72598678311746,-50.0,-50.0
44,-50.0,50.0,384.2875541029002,196.74599778923084,-50.0,-50.0
45,0.0,0.0,616.3290409446017,357.593331851529,50.0,-50.0
46,-50.0,50.0,384.20914564956223,196.62731012511222,0.0,0.0
47,0.0,0.0,616.3079181250295,357.5274906402714,50.0,50.0
48,50.0,-50.0,840.9226444744351,525.429909675412,50.0,50.0
49,-50.0,-50.0,381.3038770034464,514.7728601329163,50.0,-50.0
50,-50.0,50.0,384.23155348848195,196.37649298303177,50.0,-50.0
51,50.0,-50.0,840.8704130819779,525.3876283897536,50.0,50.0
52,50.0,50.0,844.3595229961393,193.62796135005962,-50.0,50.0
53,0.0,0.0,616.3332567760809,357.5121686381599,50.0,50.0
54,50.0,50.0,844.363124564006,193.67929906774577,-50.0,-50.0
55,-50.0,50.0,384.27177730334506,196.41753182369243,0.0,0.0
56,-50.0,-50.0,381.2863060209961,514.7681094937783,50.0,-50.0
57,-50.0,50.0,384.1368707566033,196.3737601112189,50.0,-50.0
58,50.0,-50.0,840.8946665676439,525.3932170128919,0.0,0.0
59,-50.0,50.0,384.199261475172,196.4474325921083,50.0,50.0
60,-50.0,-50.0,381.2688207183689,514.7514335769963,50.0,-50.0
61,50.0,-50.0,840.9142524726595,525.3863568172084,0.0,0.0
62,0.0,0.0,616.2904029821892,357.485531619501,50.0,-50.0
63,-50.0,50.0,384.229003997018,196.40188454321424,0.0,0.0
64,-50.0,-50.0,381.3143067943134,514.7794272205438,50.0,-50.0
65,50.0,50.0,844.3855184409417,193.6854164290958,50.0,-50.0
66,-50.0,-50.0,381.2768510918272,514.786900441662,50.0,50.0
67,50.0,50.0,844.3017409025729,193.62819618217324,-50.0,50.0
68,-50.0,-50.0,381.313031531713,514.7379188686905,50.0,50.0
69,0.0,0.0,616.3526116235352,357.51491438037965,-50.0,-50.0
70,50.0,-50.0,840.8727063805126,525.4334846989499,-50.0,50.0
71,50.0,50.0,844.2870521171748,193.6663183516704,-50.0,50.0
72,50.0,-50.0,840.8938034327981,525.4295040516425,0.0,0.0
73,0.0,0.0,616.3154616433977,357.5256582590052,50.0,50.0
74,50.0,-50.0,840.8444573128976,525.3922960246291,-50.0,-50.0
75,-50.0,50.0,384.2202344864645,196.33930325784846,50.0,-50.0
76,0.0,0.0,616.2690545870278,357.47811207599307,50.0,50.0
77,-50.0,50.0,384.24038191660156,196.46593986680384,50.0,50.0
78,50.0,-50.0,840.8403547140903,525.3713115360656,50.0,50.0
79,-50.0,-50.0,381.30047162055536,514.7984135360513,50.0,50.0
80,50.0,-50.0,840.8824802953436,525.3658836258177,-50.0,50.0
81,-50.0,-50.0,381.3362634019222,514.7591840933436,50.0,-50.0
82,-50.0,50.0,384.21759250885196,196.4312830992014,50.0,-50.0
83,-50.0,-50.0,381.3528510758001,514.7651208185374,50.0,50.0
84,50.0,-50.0,840.8380926440674,525.4532955843216,50.0,50.0
85,-50.0,50.0,384.2368446055022,196.37375952743878,0.0,0.0
86,-50.0,-50.0,381.35445299307963,514.7563423152275,-50.0,50.0
87,50.0,50.0,844.3744615456199,193.69272822199665,-50.0,50.0
88,50.0,-50.0,840.8691217296904,525.3711638721038,0.0,0.0
89,0.0,0.0,616.2992376670936,357.49478113419974,-50.0,50.0
90,50.0,-50.0,840.8453025765006,525.4011492319174,-50.0,-50.0
91,50.0,50.0,844.3312927289124,193.64067833413614,50.0,-50.0
92,50.0,-50.0,840.8985559182075,525.4026778048217,50.0,50.0
93,0.0,0.0,616.3466275903055,357.4562005781366,-50.0,50.0
94,-50.0,-50.0,381.3192212450854,514.742885112022,0.0,0.0
95,-50.0,50.0,384.21344660008776,196.42885976535567,-50.0,-50.0
96,50.0,50.0,844.2905628653504,193.6984457681801,50.0,-50.0
97,50.0,-50.0,840.9250793390006,525.4200015428319,-50.0,50.0
98,-50.0,50.0,384.2843854283087,196.36586398646432,50.0,50.0
99,50.0,-50.0,840.8867369057907,525.3921501798171,50.0,50.0
