iteration,vdiffx,vdiffy,cx_raw,cy_raw,next_vdiffx,next_vdiffy
30,-50.0,-50.0,435.7045615803026,505.0956033279825,-50.0,50.0
31,50.0,50.0,862.5656266018121,205.9130896737689,50.0,-50.0
32,0.0,0.0,648.451268699181,360.58139459441696,50.0,-50.0
33,50.0,50.0,862.3992908611114,205.83177284158083,50.0,-50.0
34,50.0,-50.0,836.7594927057147,526.6396329695618,0.0,0.0
35,-50.0,50.0,460.62522172982,205.3665111042886,0.0,0.0
36,50.0,50.0,862.5598316215686,206.04516435394422,50.0,-50.0
37,-50.0,-50.0,435.7512234844659,505.111789916705,50.0,-50.0
38,0.0,0.0,648.42009119035,360.5801117412978,-50.0,-50.0
39,50.0,50.0,862.6987699551943,206.00441397350096,-50.0,-50.0
40,-50.0,50.0,460.68274932661717,205.51051281987517,0.0,0.0
41,-50.0,-50.0,435.7717652330563,505.07696988619523,0.0,0.0
42,-50.0,50.0,460.7946527756065,205.42228534756183,0.0,0.0
43,50.0,50.0,862.4492228878917,205.82282200373893,0.0,0.0
44,-50.0,50.0,460.8994276451845,205.47344913765224,50.0,-50.0
45,50.0,-50.0,836.9004534585889,526.5910381777479,-50.0,-50.0
46,-50.0,-50.0,435.7599419459794,505.0357827484701,-50.0,50.0
47,50.0,50.0,862.6066485982815,205.97508995473913,0.0,0.0
48,0.0,0.0,648.4830981280696,360.67891709550696,50.0,50.0
49,50.0,-50.0,836.8065809851969,526.6524487443686,-50.0,-50.0
50,50.0,50.0,862.5325942815907,206.1025197893383,-50.0,-50.0
51,50.0,-50.0,836.9095749200127,526.5580025634828,-50.0,-50.0
52,-50.0,-50.0,435.8944020907963,504.95295219656236,50.0,50.0
53,50.0,50.0,862.5765611345872,205.98380749290095,0.0,0.0
54,50.0,-50.0,836.7707832989664,526.6302608181112,50.0,50.0
55,0.0,0.0,648.5853427735101,360.6254764657021,-50.0,-50.0
56,-50.0,-50.0,435.7840245195146,504.9627273548106,50.0,-50.0
57,0.0,0.0,648.5144183175186,360.68069130466387,50.0,-50.0
58,50.0,-50.0,836.7710690226412,526.6019410242781,-50.0,50.0
59,50.0,50.0,862.4640760715401,205.91961038640935,50.0,-50.0
60,0.0,0.0,648.3981389016749,360.63767610306286,-50.0,50.0
61,50.0,-50.0,836.6372460031392,526.4856610723715,-50.0,50.0
62,-50.0,-50.0,435.8745796174767,504.89113210028034,50.0,-50.0
63,50.0,50.0,862.5081848650553,205.93652254390156,-50.0,50.0
64,50.0,-50.0,836.6330332526292,526.5674862353053,-50.0,-50.0
65,-50.0,50.0,460.92676772817657,205.50364412025297,-50.0,-50.0
66,-50.0,-50.0,435.66916823178417,505.00669122263434,-50.0,50.0
67,-50.0,50.0,460.83188774556976,205.6399847920986,50.0,-50.0
68,50.0,50.0,862.394954592105,206.0125206271729,50.0,-50.0
69,50.0,-50.0,836.5963520585465,526.5815694044402,-50.0,50.0
70,0.0,0.0,648.4442913292237,360.7288759928753,-50.0,50.0
71,50.0,50.0,862.3373261138446,206.08597609986631,-50.0,50.0
72,-50.0,50.0,460.83270755634476,205.6439685799938,-50.0,-50.0
73,0.0,0.0,648.4247213330144,360.6951516132893,-50.0,50.0
74,50.0,-50.0,836.8091138317078,526.6403805453443,-50.0,-50.0
75,-50.0,50.0,460.7167724797787,205.55150012587353,-50.0,-50.0
76,50.0,50.0,862.4564869396014,206.03136386836445,-50.0,50.0
77,50.0,-50.0,836.6727130989907,526.757761980195,50.0,50.0
78,0.0,0.0,648.4243906814854,360.7615377556713,50.0,50.0
79,50.0,-50.0,836.6127321933673,526.6550070821722,0.0,0.0
