vdiffx,vdiffy,cx_raw,cy_raw
-100.0,-100.0,243.89412883097523,624.8552591205226
-90.0,-100.0,264.0331693521535,626.2041283061792
-80.0,-100.0,295.6956541493427,628.3447467710856
-70.0,-100.0,329.26396685573343,630.6390185705048
-60.0,-100.0,365.2227675475531,633.0559875575407
-50.0,-100.0,403.2188977012742,635.5791421554884
-40.0,-100.0,442.8141379373545,638.2353440007411
-30.0,-100.0,483.15228989977186,640.8439453113427
-20.0,-100.0,522.9911235350972,643.3854394029719
-10.0,-100.0,561.9250097132134,645.9162555263312
0.0,-100.0,600.7321973150371,648.575109802145
10.0,-100.0,639.728916956305,651.2362222134311
20.0,-100.0,679.5502290934508,653.95071922137
30.0,-100.0,720.120928086807,656.6829412030803
40.0,-100.0,761.4599178555669,659.5068444872727
50.0,-100.0,803.3699399552461,662.422287913198
60.0,-100.0,844.6057843859129,665.436146420653
70.0,-100.0,884.6244414637395,668.2066592034217
80.0,-100.0,922.6246733673785,670.7634138260028
90.0,-100.0,958.454451950019,673.1931531391378
100.0,-100.0,992.6055869608005,675.3113538719707
100.0,-90.0,1006.0441399186903,661.2724697788017
90.0,-90.0,984.9929620102708,652.3377659159064
80.0,-90.0,950.4303281578468,649.9872844826644
70.0,-90.0,913.7736530535279,647.4701848464471
60.0,-90.0,875.0644823143384,644.812976890867
50.0,-90.0,834.4238428892091,642.0604097932035
40.0,-90.0,792.660534690769,639.2339967136278
30.0,-90.0,750.9765702130757,636.4078539436649
20.0,-90.0,710.0332638069727,633.6405383733787
10.0,-90.0,670.0100360815086,630.9051253564307
0.0,-90.0,630.4909961556066,628.1679311601454
-10.0,-90.0,591.2647396718907,625.4068510148659
-20.0,-90.0,552.20288296449,622.744623121842
-30.0,-90.0,512.7416313327434,620.1137022335035
-40.0,-90.0,473.06233104040433,617.4099060662055
-50.0,-90.0,433.5152372616062,614.7988088444847
-60.0,-90.0,394.73516267196175,612.2875602643518
-70.0,-90.0,357.13498185806156,609.8116197735544
-80.0,-90.0,321.63352956998114,607.6014014069896
-90.0,-90.0,288.47458827684824,605.6164365703543
-100.0,-90.0,257.42878714986404,603.6166644790546
-100.0,-80.0,249.9494917150505,587.0790194548497
-90.0,-80.0,271.7271100304911,580.3862911089799
-80.0,-80.0,303.3088538363929,582.3799524391428
-70.0,-80.0,337.25887320592597,584.3862339394651
-60.0,-80.0,373.07933411798746,586.623544990542
-50.0,-80.0,411.28162388048617,589.0328258071722
-40.0,-80.0,450.78509831248283,591.5037642563966
-30.0,-80.0,490.9087087202134,593.9955845196738
-20.0,-80.0,530.6634055906603,596.5069093244861
-10.0,-80.0,569.8117046708697,599.1381582427234
0.0,-80.0,608.580767796018,601.6590757997209
10.0,-80.0,647.4406951668925,604.2220908682333
20.0,-80.0,687.0266034968398,606.8701585232304
30.0,-80.0,727.6948815298488,609.489596054191
40.0,-80.0,769.0501391473466,612.0842037229651
50.0,-80.0,810.8746560580048,615.0777761868237
60.0,-80.0,852.1821120115292,617.8422192312279
70.0,-80.0,892.3088491186821,620.6199063061766
80.0,-80.0,930.193896410104,623.3015637470711
90.0,-80.0,965.9653830597077,625.8936121985795
100.0,-80.0,1000.0455915529786,628.3503794309648
100.0,-70.0,1014.0251053582471,610.3798241181713
90.0,-70.0,993.0968226541031,599.5494743673819
80.0,-70.0,958.4642723207752,597.1852488549706
70.0,-70.0,921.8804878170878,594.698968908656
