iteration,vdiffx,vdiffy,cx_raw,cy_raw,next_vdiffx,next_vdiffy
51,-70.0,-70.0,287.465790103735,575.0345115298971,70.0,70.0
52,-70.0,70.0,291.47299291659255,134.95585969762558,-70.0,-70.0
53,70.0,70.0,930.8104198687606,127.36898162526067,0.0,0.0
54,0.0,0.0,616.3806620151767,357.52259736435343,-70.0,70.0
55,70.0,-70.0,925.9299117255,593.4585332185783,-70.0,-70.0
56,70.0,70.0,930.9085685340393,127.46992572058996,-70.0,-70.0
57,70.0,-70.0,925.92048346644,593.4064929288461,70.0,70.0
58,-70.0,-70.0,287.4256039159887,575.0231312491417,0.0,0.0
59,70.0,70.0,930.8892500771636,127.47174828235445,-70.0,70.0
60,-70.0,-70.0,287.46054776805204,574.9483903863944,70.0,70.0
61,-70.0,70.0,291.4400176078604,135.0612244959832,0.0,0.0
62,70.0,70.0,930.8319603340889,127.5553560446375,0.0,0.0
63,0.0,0.0,616.4506590546408,357.48294397261094,70.0,-70.0
64,-70.0,-70.0,287.47484604651277,574.9826485297594,70.0,70.0
65,70.0,70.0,930.8669578372625,127.36319334731002,-70.0,70.0
66,-70.0,-70.0,287.43865133309936,575.024733798893,-70.0,70.0
67,0.0,0.0,616.4342152692011,357.39143928905804,-70.0,70.0
68,70.0,-70.0,925.8239633602508,593.395687680785,70.0,70.0
69,-70.0,70.0,291.3658600436348,134.86139090563321,70.0,-70.0
70,70.0,-70.0,925.9727443692583,593.4057238886808,70.0,70.0
71,-70.0,70.0,291.49230523945954,134.81770481013402,0.0,0.0
72,70.0,-70.0,925.8865385956251,593.3733703616838,-70.0,-70.0
73,0.0,0.0,616.4550756674179,357.35177822005795,70.0,-70.0
74,-70.0,70.0,291.4300444718141,134.87720716411894,0.0,0.0
75,0.0,0.0,616.4061166071422,357.4734904414145,-70.0,70.0
76,-70.0,70.0,291.4645500457318,134.8945224447852,-70.0,-70.0
77,70.0,-70.0,925.9084091449822,593.3570860294585,70.0,70.0
78,-70.0,70.0,291.43942344228736,134.9368509312941,70.0,-70.0
79,0.0,0.0,616.3642612672776,357.4113944428209,-70.0,-70.0
80,-70.0,-70.0,287.48851586669076,574.8888111351993,-70.0,70.0
81,70.0,-70.0,925.9501239806208,593.3300819402788,70.0,70.0
82,70.0,70.0,930.8790551077021,127.40493254474428,-70.0,-70.0
83,0.0,0.0,616.362973252923,357.44547302400537,-70.0,70.0
84,70.0,-70.0,925.9179719894964,593.3013039168198,-70.0,-70.0
85,-70.0,-70.0,287.5111359020755,574.977800608753,-70.0,70.0
86,0.0,0.0,616.4048357310461,357.3415343984902,-70.0,-70.0
87,-70.0,70.0,291.34810772112036,135.03127412628234,0.0,0.0
88,70.0,-70.0,925.9270897594171,593.3240753641948,70.0,70.0
89,70.0,70.0,930.8670353966107,127.3652490169875,-70.0,-70.0
